id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,project_id,Project_Name,Project_Status
65,65,2025-03-17 01:30:49.136371,2025,3,17,22,Dieng,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
66,66,2023-12-10 06:45:49.136371,2023,12,10,15,Muara Karang,Sumatera Utara,2,Capacity Expansion Beta,Feasibility Study
67,67,2025-04-03 13:55:49.136371,2025,4,3,13,Tanjung Jati B,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
68,68,2025-02-03 04:51:49.136371,2025,2,3,8,Lahendong,DKI Jakarta,1,Grid Modernization Alpha,Planning
69,69,2023-11-19 23:40:49.136371,2023,11,19,21,Patuha,Lampung,1,Grid Modernization Alpha,Planning
70,70,2024-01-05 00:48:49.136371,2024,1,5,24,Rantau Dedap,Jawa Barat,3,New Renewable Hub Gamma,In Progress
71,71,2023-11-24 18:57:49.136371,2023,11,24,5,Darajat,Sulawesi Utara,2,Capacity Expansion Beta,Feasibility Study
72,72,2024-04-21 01:56:49.136371,2024,4,21,15,Muara Karang,Sumatera Utara,1,Grid Modernization Alpha,Planning
73,73,2023-12-12 07:32:49.136371,2023,12,12,5,Darajat,Sulawesi Utara,2,Capacity Expansion Beta,Feasibility Study
74,74,2024-05-20 15:59:49.136371,2024,5,20,24,Rantau Dedap,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
75,75,2023-09-11 08:39:49.136371,2023,9,11,7,Sibayak,Banten,5,Efficiency Upgrade Epsilon,Completed
76,76,2025-04-01 03:35:49.136371,2025,4,1,1,Karangkates,Jawa Timur,5,Efficiency Upgrade Epsilon,Completed
77,77,2023-11-20 11:39:49.136371,2023,11,20,8,Lahendong,DKI Jakarta,6,Maintenance Overhaul Zeta,Cancelled
78,78,2024-12-02 20:52:49.136371,2024,12,2,13,Tanjung Jati B,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
79,79,2024-03-12 05:55:49.136371,2024,3,12,24,Rantau Dedap,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
80,80,2024-05-04 20:04:49.136371,2024,5,4,25,Muara Laboh,Jawa Tengah,1,Grid Modernization Alpha,Planning
81,81,2024-08-19 05:56:49.136371,2024,8,19,11,Paiton,Sumatera Selatan,5,Efficiency Upgrade Epsilon,Completed
82,82,2024-03-13 19:09:49.136371,2024,3,13,10,Mataloko,Lampung,4,Rural Electrification Delta,On Hold
83,83,2024-02-28 00:26:49.136371,2024,2,28,12,Suralaya,Jawa Timur,6,Maintenance Overhaul Zeta,Cancelled
84,84,2024-09-02 00:29:49.136371,2024,9,2,11,Paiton,Sumatera Selatan,6,Maintenance Overhaul Zeta,Cancelled
85,85,2023-08-15 23:26:49.136371,2023,8,15,16,Tambak Lorok,Sulawesi Utara,5,Efficiency Upgrade Epsilon,Completed
86,86,2023-11-01 05:01:49.136371,2023,11,1,22,Dieng,Sumatera Selatan,5,Efficiency Upgrade Epsilon,Completed
87,87,2023-11-12 22:54:49.136371,2023,11,12,5,Darajat,Sulawesi Utara,3,New Renewable Hub Gamma,In Progress
88,88,2025-05-04 17:32:49.136371,2025,5,4,25,Muara Laboh,Jawa Tengah,4,Rural Electrification Delta,On Hold
89,89,2024-09-30 16:52:49.136371,2024,9,30,23,Sorik Marapi,Jawa Timur,1,Grid Modernization Alpha,Planning
90,90,2025-03-25 04:25:49.136371,2025,3,25,21,Patuha,Lampung,3,New Renewable Hub Gamma,In Progress
91,91,2023-07-07 13:42:49.136371,2023,7,7,12,Suralaya,Jawa Timur,2,Capacity Expansion Beta,Feasibility Study
92,92,2024-01-30 10:21:49.136371,2024,1,30,21,Patuha,Lampung,3,New Renewable Hub Gamma,In Progress
93,93,2023-12-09 16:44:49.136371,2023,12,9,23,Sorik Marapi,Jawa Timur,6,Maintenance Overhaul Zeta,Cancelled
94,94,2025-05-10 21:46:49.136371,2025,5,10,6,Wayang Windu,NTT,2,Capacity Expansion Beta,Feasibility Study
95,95,2023-08-23 19:43:49.136371,2023,8,23,8,Lahendong,DKI Jakarta,6,Maintenance Overhaul Zeta,Cancelled
96,96,2023-09-21 20:26:49.136371,2023,9,21,10,Mataloko,Lampung,4,Rural Electrification Delta,On Hold
97,97,2024-11-05 06:15:49.136371,2024,11,5,16,Tambak Lorok,Sulawesi Utara,6,Maintenance Overhaul Zeta,Cancelled
98,98,2024-08-18 10:08:49.136371,2024,8,18,22,Dieng,Sumatera Selatan,4,Rural Electrification Delta,On Hold
99,99,2024-01-16 00:03:49.136371,2024,1,16,14,Grati,Jawa Tengah,3,New Renewable Hub Gamma,In Progress
100,100,2024-02-19 02:50:49.136371,2024,2,19,17,Sidrap,NTT,6,Maintenance Overhaul Zeta,Cancelled
101,101,2024-05-18 17:19:49.136371,2024,5,18,23,Sorik Marapi,Jawa Timur,1,Grid Modernization Alpha,Planning
102,102,2025-02-05 20:13:49.136371,2025,2,5,11,Paiton,Sumatera Selatan,2,Capacity Expansion Beta,Feasibility Study
103,103,2024-05-14 22:21:49.136371,2024,5,14,13,Tanjung Jati B,Jawa Barat,3,New Renewable Hub Gamma,In Progress
104,104,2025-03-11 01:00:49.136371,2025,3,11,18,Jeneponto,Banten,2,Capacity Expansion Beta,Feasibility Study
105,105,2025-02-24 13:24:49.136371,2025,2,24,10,Mataloko,Lampung,6,Maintenance Overhaul Zeta,Cancelled
106,106,2023-10-03 14:08:49.136371,2023,10,3,7,Sibayak,Banten,5,Efficiency Upgrade Epsilon,Completed
107,107,2024-11-07 01:19:49.136371,2024,11,7,11,Paiton,Sumatera Selatan,4,Rural Electrification Delta,On Hold
108,108,2025-01-06 14:25:49.136371,2025,1,6,23,Sorik Marapi,Jawa Timur,1,Grid Modernization Alpha,Planning
109,109,2025-03-04 02:20:49.136371,2025,3,4,24,Rantau Dedap,Jawa Barat,4,Rural Electrification Delta,On Hold
110,110,2023-10-31 14:31:49.136371,2023,10,31,8,Lahendong,DKI Jakarta,5,Efficiency Upgrade Epsilon,Completed
111,111,2024-12-02 22:20:49.136371,2024,12,2,19,Likupang,DKI Jakarta,3,New Renewable Hub Gamma,In Progress
112,112,2024-07-25 06:13:49.136371,2024,7,25,13,Tanjung Jati B,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
113,113,2024-12-01 18:00:49.136371,2024,12,1,22,Dieng,Sumatera Selatan,4,Rural Electrification Delta,On Hold
114,114,2024-12-08 23:40:49.136371,2024,12,8,15,Muara Karang,Sumatera Utara,4,Rural Electrification Delta,On Hold
115,115,2023-10-02 19:37:49.136371,2023,10,2,8,Lahendong,DKI Jakarta,2,Capacity Expansion Beta,Feasibility Study
116,116,2023-12-14 04:16:49.136371,2023,12,14,25,Muara Laboh,Jawa Tengah,2,Capacity Expansion Beta,Feasibility Study
117,117,2024-07-18 09:59:49.136371,2024,7,18,24,Rantau Dedap,Jawa Barat,6,Maintenance Overhaul Zeta,Cancelled
118,118,2024-09-07 17:28:49.136371,2024,9,7,14,Grati,Jawa Tengah,5,Efficiency Upgrade Epsilon,Completed
119,119,2025-03-26 00:05:49.136371,2025,3,26,14,Grati,Jawa Tengah,1,Grid Modernization Alpha,Planning
120,120,2024-07-24 23:06:49.136371,2024,7,24,6,Wayang Windu,NTT,4,Rural Electrification Delta,On Hold
121,121,2024-09-28 19:53:49.136371,2024,9,28,23,Sorik Marapi,Jawa Timur,5,Efficiency Upgrade Epsilon,Completed
122,122,2023-08-31 10:19:49.136371,2023,8,31,11,Paiton,Sumatera Selatan,2,Capacity Expansion Beta,Feasibility Study
123,123,2023-12-26 04:40:49.136371,2023,12,26,14,Grati,Jawa Tengah,4,Rural Electrification Delta,On Hold
124,124,2023-12-10 08:42:49.136371,2023,12,10,21,Patuha,Lampung,4,Rural Electrification Delta,On Hold
125,125,2025-03-08 02:30:49.136371,2025,3,8,20,Gunung Salak,Sulawesi Selatan,4,Rural Electrification Delta,On Hold
126,126,2025-03-16 12:34:49.136371,2025,3,16,12,Suralaya,Jawa Timur,2,Capacity Expansion Beta,Feasibility Study
127,127,2024-07-25 21:32:49.136371,2024,7,25,14,Grati,Jawa Tengah,6,Maintenance Overhaul Zeta,Cancelled
128,128,2024-12-05 15:21:49.136371,2024,12,5,20,Gunung Salak,Sulawesi Selatan,3,New Renewable Hub Gamma,In Progress
129,129,2024-07-05 03:12:49.136371,2024,7,5,3,Saguling,Jawa Tengah,5,Efficiency Upgrade Epsilon,Completed
130,130,2023-12-11 06:28:49.136371,2023,12,11,18,Jeneponto,Banten,3,New Renewable Hub Gamma,In Progress
131,131,2024-02-20 06:48:49.136371,2024,2,20,20,Gunung Salak,Sulawesi Selatan,2,Capacity Expansion Beta,Feasibility Study
132,132,2024-07-12 04:55:49.136371,2024,7,12,22,Dieng,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
133,133,2024-05-21 10:58:49.136371,2024,5,21,13,Tanjung Jati B,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
134,134,2024-05-08 06:17:49.136371,2024,5,8,9,Ulumbu,Sulawesi Selatan,6,Maintenance Overhaul Zeta,Cancelled
135,135,2023-07-29 08:28:49.136371,2023,7,29,3,Saguling,Jawa Tengah,5,Efficiency Upgrade Epsilon,Completed
136,136,2025-03-18 05:31:49.136371,2025,3,18,11,Paiton,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
137,137,2024-01-14 08:20:49.136371,2024,1,14,18,Jeneponto,Banten,6,Maintenance Overhaul Zeta,Cancelled
138,138,2023-10-05 17:50:49.136371,2023,10,5,16,Tambak Lorok,Sulawesi Utara,2,Capacity Expansion Beta,Feasibility Study
139,139,2024-12-08 18:44:49.136371,2024,12,8,19,Likupang,DKI Jakarta,6,Maintenance Overhaul Zeta,Cancelled
140,140,2023-07-08 21:48:49.136371,2023,7,8,3,Saguling,Jawa Tengah,4,Rural Electrification Delta,On Hold
141,141,2024-04-30 06:13:49.136371,2024,4,30,20,Gunung Salak,Sulawesi Selatan,1,Grid Modernization Alpha,Planning
142,142,2025-05-26 08:11:49.136371,2025,5,26,23,Sorik Marapi,Jawa Timur,2,Capacity Expansion Beta,Feasibility Study
143,143,2025-04-22 04:24:49.136371,2025,4,22,24,Rantau Dedap,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
144,144,2023-11-16 13:59:49.136371,2023,11,16,14,Grati,Jawa Tengah,2,Capacity Expansion Beta,Feasibility Study
145,145,2023-10-30 02:14:49.136371,2023,10,30,13,Tanjung Jati B,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
146,146,2023-09-01 22:10:49.136371,2023,9,1,21,Patuha,Lampung,6,Maintenance Overhaul Zeta,Cancelled
147,147,2025-05-24 04:29:49.136371,2025,5,24,25,Muara Laboh,Jawa Tengah,2,Capacity Expansion Beta,Feasibility Study
148,148,2023-07-26 00:59:49.136371,2023,7,26,11,Paiton,Sumatera Selatan,1,Grid Modernization Alpha,Planning
149,149,2024-02-29 21:53:49.136371,2024,2,29,3,Saguling,Jawa Tengah,6,Maintenance Overhaul Zeta,Cancelled
150,150,2024-07-24 14:20:49.136371,2024,7,24,18,Jeneponto,Banten,1,Grid Modernization Alpha,Planning
151,151,2023-08-12 20:18:49.136371,2023,8,12,2,Cirata,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
152,152,2024-10-22 02:23:49.136371,2024,10,22,9,Ulumbu,Sulawesi Selatan,2,Capacity Expansion Beta,Feasibility Study
153,153,2024-04-26 10:25:49.136371,2024,4,26,4,Kamojang,Sumatera Utara,5,Efficiency Upgrade Epsilon,Completed
154,154,2023-11-25 02:39:49.136371,2023,11,25,9,Ulumbu,Sulawesi Selatan,6,Maintenance Overhaul Zeta,Cancelled
155,155,2024-03-25 03:55:49.136371,2024,3,25,5,Darajat,Sulawesi Utara,1,Grid Modernization Alpha,Planning
156,156,2023-06-25 21:51:49.136371,2023,6,25,4,Kamojang,Sumatera Utara,4,Rural Electrification Delta,On Hold
157,157,2023-07-27 23:15:49.136371,2023,7,27,11,Paiton,Sumatera Selatan,3,New Renewable Hub Gamma,In Progress
158,158,2024-03-01 17:32:49.136371,2024,3,1,13,Tanjung Jati B,Jawa Barat,3,New Renewable Hub Gamma,In Progress
159,159,2024-11-26 19:28:49.136371,2024,11,26,25,Muara Laboh,Jawa Tengah,2,Capacity Expansion Beta,Feasibility Study
160,160,2023-10-10 05:01:49.136371,2023,10,10,14,Grati,Jawa Tengah,6,Maintenance Overhaul Zeta,Cancelled
161,161,2025-04-28 19:14:49.136371,2025,4,28,19,Likupang,DKI Jakarta,2,Capacity Expansion Beta,Feasibility Study
162,162,2024-05-18 11:40:49.136371,2024,5,18,2,Cirata,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
163,163,2023-08-12 02:44:49.136371,2023,8,12,16,Tambak Lorok,Sulawesi Utara,1,Grid Modernization Alpha,Planning
164,164,2024-01-01 02:50:49.136371,2024,1,1,1,Karangkates,Jawa Timur,5,Efficiency Upgrade Epsilon,Completed
165,165,2024-04-10 11:00:49.136371,2024,4,10,6,Wayang Windu,NTT,5,Efficiency Upgrade Epsilon,Completed
166,166,2025-04-20 23:47:49.136371,2025,4,20,8,Lahendong,DKI Jakarta,2,Capacity Expansion Beta,Feasibility Study
167,167,2023-07-04 06:59:49.136371,2023,7,4,11,Paiton,Sumatera Selatan,5,Efficiency Upgrade Epsilon,Completed
168,168,2024-05-01 16:18:49.136371,2024,5,1,10,Mataloko,Lampung,1,Grid Modernization Alpha,Planning
169,169,2024-01-01 02:38:49.136371,2024,1,1,16,Tambak Lorok,Sulawesi Utara,5,Efficiency Upgrade Epsilon,Completed
170,170,2023-09-23 05:54:49.136371,2023,9,23,12,Suralaya,Jawa Timur,6,Maintenance Overhaul Zeta,Cancelled
171,171,2023-08-29 11:41:49.136371,2023,8,29,5,Darajat,Sulawesi Utara,3,New Renewable Hub Gamma,In Progress
172,172,2024-10-26 00:05:49.136371,2024,10,26,3,Saguling,Jawa Tengah,5,Efficiency Upgrade Epsilon,Completed
173,173,2024-04-11 02:25:49.136371,2024,4,11,6,Wayang Windu,NTT,4,Rural Electrification Delta,On Hold
174,174,2023-11-23 15:41:49.136371,2023,11,23,11,Paiton,Sumatera Selatan,4,Rural Electrification Delta,On Hold
175,175,2023-10-30 23:01:49.136371,2023,10,30,5,Darajat,Sulawesi Utara,1,Grid Modernization Alpha,Planning
176,176,2024-08-16 06:48:49.136371,2024,8,16,5,Darajat,Sulawesi Utara,6,Maintenance Overhaul Zeta,Cancelled
177,177,2023-10-16 01:21:49.136371,2023,10,16,13,Tanjung Jati B,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
178,178,2024-07-25 11:33:49.136371,2024,7,25,4,Kamojang,Sumatera Utara,2,Capacity Expansion Beta,Feasibility Study
179,179,2024-04-08 05:06:49.136371,2024,4,8,10,Mataloko,Lampung,5,Efficiency Upgrade Epsilon,Completed
180,180,2024-11-05 19:11:49.136371,2024,11,5,25,Muara Laboh,Jawa Tengah,4,Rural Electrification Delta,On Hold
181,181,2023-12-10 21:34:49.136371,2023,12,10,18,Jeneponto,Banten,1,Grid Modernization Alpha,Planning
182,182,2023-12-08 06:10:49.136371,2023,12,8,10,Mataloko,Lampung,6,Maintenance Overhaul Zeta,Cancelled
183,183,2024-06-04 02:02:49.136371,2024,6,4,14,Grati,Jawa Tengah,4,Rural Electrification Delta,On Hold
184,184,2024-05-22 11:30:49.136371,2024,5,22,23,Sorik Marapi,Jawa Timur,2,Capacity Expansion Beta,Feasibility Study
185,185,2024-06-06 16:22:49.136371,2024,6,6,19,Likupang,DKI Jakarta,4,Rural Electrification Delta,On Hold
186,186,2025-01-22 01:06:49.136371,2025,1,22,19,Likupang,DKI Jakarta,4,Rural Electrification Delta,On Hold
187,187,2024-09-03 04:16:49.136371,2024,9,3,9,Ulumbu,Sulawesi Selatan,3,New Renewable Hub Gamma,In Progress
188,188,2023-11-05 10:06:49.136371,2023,11,5,25,Muara Laboh,Jawa Tengah,4,Rural Electrification Delta,On Hold
189,189,2024-07-04 11:29:49.136371,2024,7,4,16,Tambak Lorok,Sulawesi Utara,5,Efficiency Upgrade Epsilon,Completed
190,190,2023-08-17 21:05:49.136371,2023,8,17,4,Kamojang,Sumatera Utara,3,New Renewable Hub Gamma,In Progress
191,191,2025-04-14 16:01:49.136371,2025,4,14,23,Sorik Marapi,Jawa Timur,4,Rural Electrification Delta,On Hold
192,192,2025-02-20 04:57:49.136371,2025,2,20,15,Muara Karang,Sumatera Utara,4,Rural Electrification Delta,On Hold
193,193,2024-06-06 02:10:49.136371,2024,6,6,18,Jeneponto,Banten,2,Capacity Expansion Beta,Feasibility Study
194,194,2024-02-17 10:40:49.136371,2024,2,17,23,Sorik Marapi,Jawa Timur,4,Rural Electrification Delta,On Hold
195,195,2023-06-28 08:36:49.136371,2023,6,28,17,Sidrap,NTT,1,Grid Modernization Alpha,Planning
196,196,2024-05-24 23:53:49.136371,2024,5,24,15,Muara Karang,Sumatera Utara,3,New Renewable Hub Gamma,In Progress
197,197,2024-11-13 21:24:49.136371,2024,11,13,19,Likupang,DKI Jakarta,6,Maintenance Overhaul Zeta,Cancelled
198,198,2023-09-16 12:44:49.136371,2023,9,16,22,Dieng,Sumatera Selatan,5,Efficiency Upgrade Epsilon,Completed
199,199,2024-04-28 12:44:49.136371,2024,4,28,13,Tanjung Jati B,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
200,200,2025-01-17 05:16:49.136371,2025,1,17,18,Jeneponto,Banten,3,New Renewable Hub Gamma,In Progress
201,201,2025-04-24 09:35:49.136371,2025,4,24,15,Muara Karang,Sumatera Utara,6,Maintenance Overhaul Zeta,Cancelled
202,202,2024-11-13 11:29:49.136371,2024,11,13,1,Karangkates,Jawa Timur,2,Capacity Expansion Beta,Feasibility Study
203,203,2023-09-04 10:49:49.136371,2023,9,4,6,Wayang Windu,NTT,4,Rural Electrification Delta,On Hold
204,204,2024-02-13 09:20:49.136371,2024,2,13,22,Dieng,Sumatera Selatan,6,Maintenance Overhaul Zeta,Cancelled
205,205,2024-11-30 09:42:49.136371,2024,11,30,14,Grati,Jawa Tengah,1,Grid Modernization Alpha,Planning
206,206,2024-07-27 16:39:49.136371,2024,7,27,18,Jeneponto,Banten,1,Grid Modernization Alpha,Planning
207,207,2024-12-21 23:12:49.136371,2024,12,21,11,Paiton,Sumatera Selatan,5,Efficiency Upgrade Epsilon,Completed
208,208,2025-01-05 03:45:49.136371,2025,1,5,2,Cirata,Jawa Barat,5,Efficiency Upgrade Epsilon,Completed
209,209,2024-06-26 16:50:49.136371,2024,6,26,10,Mataloko,Lampung,3,New Renewable Hub Gamma,In Progress
210,210,2024-01-10 09:40:49.136371,2024,1,10,3,Saguling,Jawa Tengah,5,Efficiency Upgrade Epsilon,Completed
211,211,2024-12-01 09:12:49.136371,2024,12,1,21,Patuha,Lampung,5,Efficiency Upgrade Epsilon,Completed
212,212,2024-12-27 20:45:49.136371,2024,12,27,2,Cirata,Jawa Barat,6,Maintenance Overhaul Zeta,Cancelled
213,213,2023-10-28 01:15:49.136371,2023,10,28,17,Sidrap,NTT,3,New Renewable Hub Gamma,In Progress
214,214,2023-07-26 16:25:49.136371,2023,7,26,24,Rantau Dedap,Jawa Barat,2,Capacity Expansion Beta,Feasibility Study
215,215,2025-02-19 15:29:49.136371,2025,2,19,23,Sorik Marapi,Jawa Timur,4,Rural Electrification Delta,On Hold
