id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,customer_segment_id,Customer_Segment_Name,Customer_Type
20,20,2025-02-24 15:13:15.892032,2025,2,24,25,Muara Laboh,Jawa Tengah,2,Commercial,Prepaid
21,21,2025-05-19 15:35:15.892032,2025,5,19,7,Sibayak,Banten,1,Residential,Postpaid
22,22,2024-06-07 06:50:15.892032,2024,6,7,24,Rantau Dedap,Jawa Barat,2,Commercial,Postpaid
23,23,2025-03-10 17:17:15.892032,2025,3,10,17,Sidrap,NTT,4,Government,Prepaid
24,24,2024-07-24 17:12:15.892032,2024,7,24,9,Ulumbu,Sulawesi Selatan,2,Commercial,Prepaid
25,25,2025-02-28 00:34:15.892032,2025,2,28,11,Paiton,Sumatera Selatan,1,Residential,Postpaid
26,26,2025-04-20 14:14:15.892032,2025,4,20,3,Saguling,Jawa Tengah,3,Industrial,Postpaid
27,27,2025-05-14 07:47:15.892032,2025,5,14,8,Lahendong,DKI Jakarta,1,Residential,Postpaid
28,28,2025-02-18 01:25:15.892032,2025,2,18,4,Kamojang,Sumatera Utara,3,Industrial,Prepaid
29,29,2024-11-19 05:03:15.892032,2024,11,19,6,Wayang Windu,NTT,2,Commercial,Postpaid
30,30,2025-04-17 16:42:15.892032,2025,4,17,2,Cirata,Jawa Barat,4,Government,Postpaid
31,31,2024-07-13 03:54:15.892032,2024,7,13,19,Likupang,DKI Jakarta,3,Industrial,Postpaid
32,32,2024-11-19 01:18:15.892032,2024,11,19,12,Suralaya,Jawa Timur,1,Residential,Postpaid
33,33,2024-12-26 17:21:15.892032,2024,12,26,18,Jeneponto,Banten,2,Commercial,Postpaid
34,34,2025-05-13 08:45:15.892032,2025,5,13,6,Wayang Windu,NTT,2,Commercial,Postpaid
35,35,2024-12-04 01:08:15.892032,2024,12,4,3,Saguling,Jawa Tengah,1,Residential,Postpaid
36,36,2024-12-10 08:54:15.892032,2024,12,10,19,Likupang,DKI Jakarta,2,Commercial,Postpaid
37,37,2024-11-07 17:59:15.892032,2024,11,7,1,Karangkates,Jawa Timur,2,Commercial,Postpaid
38,38,2024-07-10 13:24:15.892032,2024,7,10,23,Sorik Marapi,Jawa Timur,3,Industrial,Postpaid
39,39,2024-07-07 10:35:15.892032,2024,7,7,22,Dieng,Sumatera Selatan,3,Industrial,Prepaid
40,40,2024-09-10 06:10:15.892032,2024,9,10,18,Jeneponto,Banten,3,Industrial,Postpaid
41,41,2025-01-14 09:22:15.892032,2025,1,14,16,Tambak Lorok,Sulawesi Utara,2,Commercial,Prepaid
42,42,2025-01-14 23:05:15.892032,2025,1,14,24,Rantau Dedap,Jawa Barat,4,Government,Prepaid
43,43,2024-09-17 16:09:15.892032,2024,9,17,10,Mataloko,Lampung,2,Commercial,Prepaid
44,44,2025-04-27 13:01:15.892032,2025,4,27,22,Dieng,Sumatera Selatan,1,Residential,Postpaid
45,45,2024-06-27 06:42:15.892032,2024,6,27,13,Tanjung Jati B,Jawa Barat,3,Industrial,Prepaid
46,46,2025-05-20 12:36:15.892032,2025,5,20,4,Kamojang,Sumatera Utara,4,Government,Prepaid
47,47,2025-03-06 23:43:15.892032,2025,3,6,3,Saguling,Jawa Tengah,4,Government,Postpaid
48,48,2024-11-15 18:05:15.892032,2024,11,15,19,Likupang,DKI Jakarta,1,Residential,Postpaid
49,49,2024-06-30 14:37:15.892032,2024,6,30,5,Darajat,Sulawesi Utara,4,Government,Postpaid
50,50,2025-05-03 07:10:15.892032,2025,5,3,11,Paiton,Sumatera Selatan,1,Residential,Prepaid
51,51,2025-03-06 17:31:15.892032,2025,3,6,20,Gunung Salak,Sulawesi Selatan,2,Commercial,Prepaid
52,52,2024-10-07 04:13:15.892032,2024,10,7,14,Grati,Jawa Tengah,2,Commercial,Postpaid
53,53,2024-07-12 03:51:15.892032,2024,7,12,12,Suralaya,Jawa Timur,3,Industrial,Postpaid
54,54,2024-08-23 22:49:15.892032,2024,8,23,9,Ulumbu,Sulawesi Selatan,3,Industrial,Postpaid
55,55,2025-01-04 06:11:15.892032,2025,1,4,18,Jeneponto,Banten,4,Government,Postpaid
56,56,2024-09-05 15:22:15.892032,2024,9,5,6,Wayang Windu,NTT,4,Government,Postpaid
57,57,2025-05-26 20:16:15.892032,2025,5,26,23,Sorik Marapi,Jawa Timur,4,Government,Postpaid
58,58,2025-04-05 10:14:15.892032,2025,4,5,24,Rantau Dedap,Jawa Barat,3,Industrial,Postpaid
59,59,2025-02-25 23:38:15.892032,2025,2,25,13,Tanjung Jati B,Jawa Barat,4,Government,Prepaid
60,60,2025-02-25 02:10:15.892032,2025,2,25,22,Dieng,Sumatera Selatan,2,Commercial,Postpaid
61,61,2024-08-04 03:13:15.892032,2024,8,4,25,Muara Laboh,Jawa Tengah,1,Residential,Postpaid
62,62,2025-04-28 02:29:15.892032,2025,4,28,9,Ulumbu,Sulawesi Selatan,3,Industrial,Postpaid
63,63,2024-09-23 19:50:15.892032,2024,9,23,6,Wayang Windu,NTT,1,Residential,Postpaid
64,64,2024-11-02 02:52:15.892032,2024,11,2,12,Suralaya,Jawa Timur,1,Residential,Prepaid
65,65,2024-10-22 22:17:15.892032,2024,10,22,4,Kamojang,Sumatera Utara,4,Government,Prepaid
66,66,2025-05-04 02:29:15.892032,2025,5,4,23,Sorik Marapi,Jawa Timur,1,Residential,Prepaid
67,67,2024-12-01 14:21:15.892032,2024,12,1,18,Jeneponto,Banten,4,Government,Prepaid
68,68,2024-10-19 01:19:15.892032,2024,10,19,10,Mataloko,Lampung,2,Commercial,Prepaid
69,69,2024-11-17 10:25:15.892032,2024,11,17,24,Rantau Dedap,Jawa Barat,2,Commercial,Prepaid
70,70,2025-03-12 18:13:15.892032,2025,3,12,19,Likupang,DKI Jakarta,4,Government,Postpaid
71,71,2024-08-09 17:00:15.892032,2024,8,9,13,Tanjung Jati B,Jawa Barat,4,Government,Postpaid
72,72,2025-03-15 12:52:15.892032,2025,3,15,7,Sibayak,Banten,1,Residential,Prepaid
73,73,2024-06-13 13:11:15.892032,2024,6,13,23,Sorik Marapi,Jawa Timur,2,Commercial,Postpaid
74,74,2025-05-19 20:44:15.892032,2025,5,19,9,Ulumbu,Sulawesi Selatan,3,Industrial,Postpaid
75,75,2025-03-21 20:43:15.892032,2025,3,21,24,Rantau Dedap,Jawa Barat,3,Industrial,Prepaid
76,76,2024-09-08 02:50:15.892032,2024,9,8,20,Gunung Salak,Sulawesi Selatan,3,Industrial,Postpaid
77,77,2025-02-16 23:00:15.892032,2025,2,16,3,Saguling,Jawa Tengah,4,Government,Postpaid
78,78,2024-05-28 17:27:15.892032,2024,5,28,4,Kamojang,Sumatera Utara,3,Industrial,Postpaid
79,79,2025-04-22 05:25:15.892032,2025,4,22,12,Suralaya,Jawa Timur,1,Residential,Postpaid
80,80,2025-03-29 15:14:15.892032,2025,3,29,13,Tanjung Jati B,Jawa Barat,1,Residential,Prepaid
81,81,2025-02-21 15:50:15.892032,2025,2,21,5,Darajat,Sulawesi Utara,1,Residential,Prepaid
82,82,2025-04-30 05:58:15.892032,2025,4,30,13,Tanjung Jati B,Jawa Barat,1,Residential,Postpaid
83,83,2024-08-07 04:35:15.892032,2024,8,7,18,Jeneponto,Banten,3,Industrial,Prepaid
84,84,2025-01-30 21:01:15.892032,2025,1,30,5,Darajat,Sulawesi Utara,1,Residential,Postpaid
85,85,2024-11-06 00:32:15.892032,2024,11,6,24,Rantau Dedap,Jawa Barat,2,Commercial,Prepaid
86,86,2024-06-16 17:06:15.892032,2024,6,16,1,Karangkates,Jawa Timur,3,Industrial,Postpaid
87,87,2024-06-17 22:34:15.892032,2024,6,17,4,Kamojang,Sumatera Utara,1,Residential,Prepaid
88,88,2024-08-30 22:18:15.892032,2024,8,30,25,Muara Laboh,Jawa Tengah,2,Commercial,Prepaid
89,89,2024-08-30 20:40:15.892032,2024,8,30,21,Patuha,Lampung,2,Commercial,Postpaid
90,90,2025-03-02 05:27:15.892032,2025,3,2,16,Tambak Lorok,Sulawesi Utara,4,Government,Prepaid
91,91,2024-08-17 12:34:15.892032,2024,8,17,4,Kamojang,Sumatera Utara,4,Government,Prepaid
92,92,2024-11-22 15:49:15.892032,2024,11,22,20,Gunung Salak,Sulawesi Selatan,2,Commercial,Postpaid
93,93,2024-09-26 18:31:15.892032,2024,9,26,13,Tanjung Jati B,Jawa Barat,4,Government,Postpaid
94,94,2025-03-01 07:25:15.892032,2025,3,1,5,Darajat,Sulawesi Utara,4,Government,Postpaid
95,95,2024-09-28 02:35:15.892032,2024,9,28,24,Rantau Dedap,Jawa Barat,1,Residential,Postpaid
96,96,2024-06-27 05:42:15.892032,2024,6,27,19,Likupang,DKI Jakarta,3,Industrial,Postpaid
97,97,2024-09-29 06:27:15.892032,2024,9,29,12,Suralaya,Jawa Timur,1,Residential,Postpaid
98,98,2024-08-26 10:32:15.892032,2024,8,26,4,Kamojang,Sumatera Utara,4,Government,Postpaid
99,99,2025-03-27 22:04:15.892032,2025,3,27,10,Mataloko,Lampung,4,Government,Postpaid
100,100,2025-04-23 13:58:15.892032,2025,4,23,8,Lahendong,DKI Jakarta,4,Government,Prepaid
101,101,2025-03-31 11:02:15.892032,2025,3,31,15,Muara Karang,Sumatera Utara,2,Commercial,Prepaid
102,102,2025-02-15 17:51:15.892032,2025,2,15,5,Darajat,Sulawesi Utara,4,Government,Postpaid
103,103,2024-06-21 20:08:15.892032,2024,6,21,21,Patuha,Lampung,4,Government,Prepaid
104,104,2024-08-16 15:00:15.892032,2024,8,16,19,Likupang,DKI Jakarta,1,Residential,Prepaid
105,105,2025-04-20 09:40:15.892032,2025,4,20,6,Wayang Windu,NTT,3,Industrial,Postpaid
106,106,2024-06-05 22:06:15.892032,2024,6,5,3,Saguling,Jawa Tengah,4,Government,Prepaid
107,107,2024-06-24 03:48:15.892032,2024,6,24,13,Tanjung Jati B,Jawa Barat,2,Commercial,Postpaid
108,108,2024-12-30 23:01:15.892032,2024,12,30,7,Sibayak,Banten,2,Commercial,Postpaid
109,109,2024-09-29 18:40:15.892032,2024,9,29,9,Ulumbu,Sulawesi Selatan,2,Commercial,Prepaid
110,110,2024-11-01 16:55:15.892032,2024,11,1,5,Darajat,Sulawesi Utara,3,Industrial,Postpaid
111,111,2025-03-11 10:06:15.892032,2025,3,11,23,Sorik Marapi,Jawa Timur,1,Residential,Prepaid
112,112,2025-03-30 23:20:15.892032,2025,3,30,1,Karangkates,Jawa Timur,2,Commercial,Postpaid
113,113,2025-04-22 05:54:15.892032,2025,4,22,12,Suralaya,Jawa Timur,2,Commercial,Prepaid
114,114,2025-04-04 11:57:15.892032,2025,4,4,19,Likupang,DKI Jakarta,4,Government,Prepaid
115,115,2024-09-19 14:54:15.892032,2024,9,19,17,Sidrap,NTT,2,Commercial,Postpaid
116,116,2024-11-13 00:58:15.892032,2024,11,13,16,Tambak Lorok,Sulawesi Utara,1,Residential,Prepaid
117,117,2024-09-19 23:53:15.892032,2024,9,19,16,Tambak Lorok,Sulawesi Utara,4,Government,Prepaid
118,118,2025-03-20 10:42:15.892032,2025,3,20,8,Lahendong,DKI Jakarta,2,Commercial,Prepaid
119,119,2024-12-22 22:29:15.892032,2024,12,22,14,Grati,Jawa Tengah,3,Industrial,Postpaid
120,120,2024-09-07 10:51:15.892032,2024,9,7,24,Rantau Dedap,Jawa Barat,4,Government,Postpaid
121,121,2024-10-22 19:49:15.892032,2024,10,22,17,Sidrap,NTT,4,Government,Prepaid
122,122,2024-10-22 02:18:15.892032,2024,10,22,15,Muara Karang,Sumatera Utara,3,Industrial,Postpaid
123,123,2025-03-27 13:19:15.892032,2025,3,27,6,Wayang Windu,NTT,3,Industrial,Postpaid
124,124,2024-12-06 08:51:15.892032,2024,12,6,19,Likupang,DKI Jakarta,1,Residential,Postpaid
125,125,2025-03-15 16:24:15.892032,2025,3,15,24,Rantau Dedap,Jawa Barat,1,Residential,Prepaid
126,126,2025-03-29 13:23:15.892032,2025,3,29,11,Paiton,Sumatera Selatan,4,Government,Prepaid
127,127,2025-01-19 17:08:15.892032,2025,1,19,6,Wayang Windu,NTT,2,Commercial,Postpaid
128,128,2024-06-03 18:09:15.892032,2024,6,3,5,Darajat,Sulawesi Utara,4,Government,Prepaid
129,129,2024-08-27 14:05:15.892032,2024,8,27,19,Likupang,DKI Jakarta,1,Residential,Prepaid
130,130,2024-07-13 10:26:15.892032,2024,7,13,5,Darajat,Sulawesi Utara,3,Industrial,Prepaid
131,131,2024-05-27 12:27:15.892032,2024,5,27,13,Tanjung Jati B,Jawa Barat,4,Government,Postpaid
132,132,2024-09-24 04:42:15.892032,2024,9,24,12,Suralaya,Jawa Timur,4,Government,Prepaid
133,133,2024-08-18 12:47:15.892032,2024,8,18,11,Paiton,Sumatera Selatan,1,Residential,Postpaid
134,134,2024-08-17 04:49:15.892032,2024,8,17,12,Suralaya,Jawa Timur,1,Residential,Prepaid
135,135,2025-03-10 08:58:15.892032,2025,3,10,2,Cirata,Jawa Barat,1,Residential,Prepaid
136,136,2024-07-08 08:13:15.892032,2024,7,8,7,Sibayak,Banten,4,Government,Postpaid
137,137,2024-11-04 14:33:15.892032,2024,11,4,19,Likupang,DKI Jakarta,1,Residential,Prepaid
138,138,2025-02-13 09:27:15.892032,2025,2,13,13,Tanjung Jati B,Jawa Barat,4,Government,Postpaid
139,139,2025-05-10 18:31:15.892032,2025,5,10,16,Tambak Lorok,Sulawesi Utara,3,Industrial,Postpaid
140,140,2024-07-22 00:24:15.892032,2024,7,22,17,Sidrap,NTT,4,Government,Prepaid
141,141,2024-06-07 22:10:15.892032,2024,6,7,15,Muara Karang,Sumatera Utara,2,Commercial,Prepaid
142,142,2025-01-08 04:21:15.892032,2025,1,8,4,Kamojang,Sumatera Utara,1,Residential,Postpaid
143,143,2024-07-12 09:25:15.892032,2024,7,12,12,Suralaya,Jawa Timur,1,Residential,Postpaid
144,144,2024-10-31 06:14:15.892032,2024,10,31,9,Ulumbu,Sulawesi Selatan,4,Government,Prepaid
145,145,2025-01-15 00:54:15.892032,2025,1,15,6,Wayang Windu,NTT,2,Commercial,Prepaid
146,146,2025-02-07 04:45:15.892032,2025,2,7,10,Mataloko,Lampung,4,Government,Postpaid
147,147,2024-05-27 19:11:15.892032,2024,5,27,14,Grati,Jawa Tengah,2,Commercial,Postpaid
148,148,2025-04-23 23:37:15.892032,2025,4,23,3,Saguling,Jawa Tengah,4,Government,Prepaid
149,149,2025-02-09 20:00:15.892032,2025,2,9,25,Muara Laboh,Jawa Tengah,2,Commercial,Prepaid
150,150,2025-05-23 04:52:15.892032,2025,5,23,12,Suralaya,Jawa Timur,1,Residential,Prepaid
151,151,2024-10-17 22:41:15.892032,2024,10,17,16,Tambak Lorok,Sulawesi Utara,4,Government,Prepaid
152,152,2024-12-21 16:58:15.892032,2024,12,21,15,Muara Karang,Sumatera Utara,3,Industrial,Postpaid
153,153,2024-10-31 08:18:15.892032,2024,10,31,10,Mataloko,Lampung,3,Industrial,Postpaid
154,154,2024-12-31 11:12:15.892032,2024,12,31,11,Paiton,Sumatera Selatan,4,Government,Postpaid
155,155,2024-06-23 16:29:15.892032,2024,6,23,17,Sidrap,NTT,4,Government,Postpaid
156,156,2024-08-20 09:22:15.892032,2024,8,20,14,Grati,Jawa Tengah,4,Government,Prepaid
157,157,2025-03-21 23:46:15.892032,2025,3,21,11,Paiton,Sumatera Selatan,3,Industrial,Postpaid
158,158,2024-11-15 05:05:15.892032,2024,11,15,17,Sidrap,NTT,1,Residential,Prepaid
159,159,2024-06-07 00:49:15.892032,2024,6,7,10,Mataloko,Lampung,3,Industrial,Postpaid
160,160,2024-10-06 13:48:15.892032,2024,10,6,25,Muara Laboh,Jawa Tengah,3,Industrial,Postpaid
161,161,2025-01-23 14:16:15.892032,2025,1,23,23,Sorik Marapi,Jawa Timur,4,Government,Postpaid
162,162,2025-02-28 19:04:15.892032,2025,2,28,16,Tambak Lorok,Sulawesi Utara,2,Commercial,Postpaid
163,163,2024-08-31 18:25:15.892032,2024,8,31,11,Paiton,Sumatera Selatan,4,Government,Postpaid
164,164,2025-05-16 23:24:15.892032,2025,5,16,16,Tambak Lorok,Sulawesi Utara,1,Residential,Prepaid
165,165,2025-01-04 10:40:15.892032,2025,1,4,13,Tanjung Jati B,Jawa Barat,4,Government,Prepaid
166,166,2025-04-10 16:29:15.892032,2025,4,10,21,Patuha,Lampung,3,Industrial,Postpaid
167,167,2024-08-22 00:10:15.892032,2024,8,22,7,Sibayak,Banten,1,Residential,Prepaid
168,168,2024-09-09 15:08:15.892032,2024,9,9,15,Muara Karang,Sumatera Utara,4,Government,Postpaid
169,169,2024-12-08 22:25:15.892032,2024,12,8,12,Suralaya,Jawa Timur,2,Commercial,Postpaid
170,170,2024-07-12 20:05:15.892032,2024,7,12,6,Wayang Windu,NTT,2,Commercial,Postpaid
171,171,2025-01-27 22:11:15.892032,2025,1,27,15,Muara Karang,Sumatera Utara,3,Industrial,Prepaid
172,172,2024-11-29 16:42:15.892032,2024,11,29,20,Gunung Salak,Sulawesi Selatan,4,Government,Postpaid
173,173,2025-03-10 20:48:15.892032,2025,3,10,7,Sibayak,Banten,2,Commercial,Postpaid
174,174,2025-04-18 23:17:15.892032,2025,4,18,2,Cirata,Jawa Barat,3,Industrial,Postpaid
175,175,2025-02-24 05:36:15.892032,2025,2,24,24,Rantau Dedap,Jawa Barat,1,Residential,Postpaid
176,176,2024-06-01 00:33:15.892032,2024,6,1,3,Saguling,Jawa Tengah,4,Government,Prepaid
177,177,2025-05-18 04:56:15.892032,2025,5,18,6,Wayang Windu,NTT,1,Residential,Prepaid
178,178,2024-07-03 11:31:15.892032,2024,7,3,20,Gunung Salak,Sulawesi Selatan,2,Commercial,Prepaid
179,179,2025-03-03 17:57:15.892032,2025,3,3,2,Cirata,Jawa Barat,4,Government,Postpaid
180,180,2025-02-25 01:33:15.892032,2025,2,25,18,Jeneponto,Banten,3,Industrial,Prepaid
181,181,2025-03-12 04:20:15.892032,2025,3,12,25,Muara Laboh,Jawa Tengah,2,Commercial,Postpaid
182,182,2025-04-12 17:41:15.892032,2025,4,12,25,Muara Laboh,Jawa Tengah,3,Industrial,Prepaid
183,183,2024-08-20 20:25:15.892032,2024,8,20,22,Dieng,Sumatera Selatan,2,Commercial,Postpaid
184,184,2025-04-13 15:44:15.892032,2025,4,13,6,Wayang Windu,NTT,3,Industrial,Postpaid
185,185,2025-01-17 18:59:15.892032,2025,1,17,3,Saguling,Jawa Tengah,3,Industrial,Prepaid
186,186,2024-06-22 11:54:15.892032,2024,6,22,17,Sidrap,NTT,1,Residential,Prepaid
187,187,2024-10-15 16:43:15.892032,2024,10,15,7,Sibayak,Banten,1,Residential,Postpaid
188,188,2024-08-16 07:36:15.892032,2024,8,16,18,Jeneponto,Banten,2,Commercial,Prepaid
189,189,2024-06-21 01:31:15.892032,2024,6,21,4,Kamojang,Sumatera Utara,2,Commercial,Postpaid
190,190,2024-12-01 06:15:15.892032,2024,12,1,5,Darajat,Sulawesi Utara,3,Industrial,Postpaid
191,191,2025-02-25 05:15:15.892032,2025,2,25,22,Dieng,Sumatera Selatan,3,Industrial,Postpaid
192,192,2024-08-05 22:38:15.892032,2024,8,5,24,Rantau Dedap,Jawa Barat,1,Residential,Prepaid
193,193,2024-10-08 02:18:15.892032,2024,10,8,25,Muara Laboh,Jawa Tengah,1,Residential,Postpaid
194,194,2024-10-05 17:20:15.892032,2024,10,5,19,Likupang,DKI Jakarta,2,Commercial,Postpaid
195,195,2025-05-23 12:06:15.892032,2025,5,23,20,Gunung Salak,Sulawesi Selatan,2,Commercial,Postpaid
196,196,2024-06-02 04:52:15.892032,2024,6,2,6,Wayang Windu,NTT,2,Commercial,Prepaid
197,197,2025-04-01 06:03:15.892032,2025,4,1,22,Dieng,Sumatera Selatan,3,Industrial,Prepaid
198,198,2024-07-16 21:05:15.892032,2024,7,16,2,Cirata,Jawa Barat,4,Government,Postpaid
199,199,2024-11-04 18:20:15.892032,2024,11,4,1,Karangkates,Jawa Timur,1,Residential,Prepaid
200,200,2025-01-11 12:27:15.892032,2025,1,11,9,Ulumbu,Sulawesi Selatan,3,Industrial,Prepaid
201,201,2025-04-21 23:13:15.892032,2025,4,21,23,Sorik Marapi,Jawa Timur,2,Commercial,Postpaid
202,202,2025-01-07 20:58:15.892032,2025,1,7,1,Karangkates,Jawa Timur,4,Government,Postpaid
203,203,2025-05-10 00:53:15.892032,2025,5,10,12,Suralaya,Jawa Timur,4,Government,Prepaid
204,204,2024-08-07 08:40:15.892032,2024,8,7,9,Ulumbu,Sulawesi Selatan,4,Government,Postpaid
205,205,2025-05-26 19:23:15.892032,2025,5,26,17,Sidrap,NTT,1,Residential,Prepaid
206,206,2024-10-01 14:36:15.892032,2024,10,1,16,Tambak Lorok,Sulawesi Utara,4,Government,Postpaid
207,207,2024-11-17 05:14:15.892032,2024,11,17,18,Jeneponto,Banten,2,Commercial,Prepaid
208,208,2024-09-09 23:41:15.892032,2024,9,9,7,Sibayak,Banten,3,Industrial,Postpaid
209,209,2024-07-02 09:36:15.892032,2024,7,2,16,Tambak Lorok,Sulawesi Utara,1,Residential,Postpaid
210,210,2025-01-20 22:30:15.892032,2025,1,20,12,Suralaya,Jawa Timur,3,Industrial,Postpaid
211,211,2025-05-23 13:08:15.892032,2025,5,23,10,Mataloko,Lampung,3,Industrial,Prepaid
212,212,2025-05-25 19:48:15.892032,2025,5,25,20,Gunung Salak,Sulawesi Selatan,4,Government,Prepaid
213,213,2025-05-10 14:20:15.892032,2025,5,10,20,Gunung Salak,Sulawesi Selatan,1,Residential,Prepaid
214,214,2024-05-31 12:48:15.892032,2024,5,31,16,Tambak Lorok,Sulawesi Utara,3,Industrial,Prepaid
215,215,2025-04-26 05:50:15.892032,2025,4,26,10,Mataloko,Lampung,3,Industrial,Postpaid
216,216,2025-01-09 20:54:15.892032,2025,1,9,9,Ulumbu,Sulawesi Selatan,2,Commercial,Postpaid
217,217,2024-11-13 05:02:15.892032,2024,11,13,25,Muara Laboh,Jawa Tengah,2,Commercial,Postpaid
218,218,2024-11-06 20:43:15.892032,2024,11,6,23,Sorik Marapi,Jawa Timur,3,Industrial,Postpaid
219,219,2025-05-05 07:47:15.892032,2025,5,5,9,Ulumbu,Sulawesi Selatan,1,Residential,Prepaid
220,220,2025-01-17 19:22:15.892032,2025,1,17,11,Paiton,Sumatera Selatan,4,Government,Prepaid
221,221,2024-08-31 13:36:15.892032,2024,8,31,17,Sidrap,NTT,4,Government,Prepaid
222,222,2025-05-18 19:47:15.892032,2025,5,18,25,Muara Laboh,Jawa Tengah,2,Commercial,Postpaid
223,223,2025-01-06 22:40:15.892032,2025,1,6,7,Sibayak,Banten,3,Industrial,Postpaid
224,224,2024-06-04 19:51:15.892032,2024,6,4,19,Likupang,DKI Jakarta,4,Government,Prepaid
225,225,2025-02-27 06:01:15.892032,2025,2,27,6,Wayang Windu,NTT,4,Government,Prepaid
226,226,2024-06-28 07:18:15.892032,2024,6,28,3,Saguling,Jawa Tengah,2,Commercial,Prepaid
227,227,2024-10-03 13:10:15.892032,2024,10,3,25,Muara Laboh,Jawa Tengah,4,Government,Prepaid
228,228,2024-11-08 18:31:15.892032,2024,11,8,16,Tambak Lorok,Sulawesi Utara,4,Government,Postpaid
229,229,2024-10-11 20:58:15.892032,2024,10,11,2,Cirata,Jawa Barat,2,Commercial,Postpaid
230,230,2025-03-03 00:08:15.892032,2025,3,3,18,Jeneponto,Banten,3,Industrial,Prepaid
231,231,2024-06-23 17:57:15.892032,2024,6,23,24,Rantau Dedap,Jawa Barat,3,Industrial,Prepaid
232,232,2024-12-22 13:55:15.892032,2024,12,22,2,Cirata,Jawa Barat,2,Commercial,Prepaid
233,233,2024-10-04 03:55:15.892032,2024,10,4,25,Muara Laboh,Jawa Tengah,3,Industrial,Postpaid
234,234,2024-12-14 12:03:15.892032,2024,12,14,4,Kamojang,Sumatera Utara,1,Residential,Postpaid
235,235,2025-02-10 09:38:15.892032,2025,2,10,3,Saguling,Jawa Tengah,4,Government,Prepaid
236,236,2024-09-26 15:45:15.892032,2024,9,26,1,Karangkates,Jawa Timur,4,Government,Prepaid
237,237,2024-08-28 17:58:15.892032,2024,8,28,12,Suralaya,Jawa Timur,1,Residential,Postpaid
238,238,2024-12-11 19:59:15.892032,2024,12,11,14,Grati,Jawa Tengah,1,Residential,Prepaid
239,239,2025-03-13 16:03:15.892032,2025,3,13,1,Karangkates,Jawa Timur,3,Industrial,Prepaid
240,240,2024-07-22 21:41:15.892032,2024,7,22,8,Lahendong,DKI Jakarta,2,Commercial,Prepaid
241,241,2025-02-16 04:35:15.892032,2025,2,16,22,Dieng,Sumatera Selatan,4,Government,Postpaid
242,242,2025-04-09 05:03:15.892032,2025,4,9,13,Tanjung Jati B,Jawa Barat,1,Residential,Postpaid
243,243,2025-04-25 18:51:15.892032,2025,4,25,7,Sibayak,Banten,2,Commercial,Postpaid
244,244,2025-03-24 06:05:15.892032,2025,3,24,21,Patuha,Lampung,2,Commercial,Postpaid
245,245,2024-09-28 20:50:15.892032,2024,9,28,4,Kamojang,Sumatera Utara,4,Government,Postpaid
246,246,2024-07-07 22:36:15.892032,2024,7,7,13,Tanjung Jati B,Jawa Barat,4,Government,Postpaid
247,247,2025-02-06 11:25:15.892032,2025,2,6,4,Kamojang,Sumatera Utara,2,Commercial,Postpaid
