id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,regulation_id,Regulation_Name,Regulation_Authority
15,15,2024-05-10 13:26:05.504745,2024,5,10,18,Jeneponto,Banten,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
16,16,2024-06-14 01:15:05.504745,2024,6,14,1,Karangkates,Jawa Timur,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
17,17,2024-08-25 18:18:05.504745,2024,8,25,11,Paiton,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
18,18,2022-11-26 22:47:05.504745,2022,11,26,23,Sorik Marapi,Jawa Timur,6,Water Quality Standard 2023,Ministry of Environment and Forestry
19,19,2023-02-24 08:55:05.504745,2023,2,24,20,Gunung Salak,Sulawesi Selatan,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
20,20,2022-12-28 05:24:05.504745,2022,12,28,19,Likupang,DKI Jakarta,2,Environmental Permit No. 123/2024,Regional Environmental Agency
21,21,2023-08-07 03:30:05.504745,2023,8,7,17,Sidrap,NTT,6,Water Quality Standard 2023,Ministry of Environment and Forestry
22,22,2023-10-22 05:22:05.504745,2023,10,22,15,Muara Karang,Sumatera Utara,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
23,23,2023-08-01 04:31:05.504745,2023,8,1,13,Tanjung Jati B,Jawa Barat,2,Environmental Permit No. 123/2024,Regional Environmental Agency
24,24,2024-10-25 01:18:05.504745,2024,10,25,1,Karangkates,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
25,25,2022-11-09 11:57:05.504745,2022,11,9,17,Sidrap,NTT,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
26,26,2023-06-22 21:53:05.504745,2023,6,22,8,Lahendong,DKI Jakarta,2,Environmental Permit No. 123/2024,Regional Environmental Agency
27,27,2022-09-09 21:48:05.504745,2022,9,9,14,Grati,Jawa Tengah,2,Environmental Permit No. 123/2024,Regional Environmental Agency
28,28,2024-06-13 23:31:05.504745,2024,6,13,16,Tambak Lorok,Sulawesi Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
29,29,2023-11-23 00:12:05.504745,2023,11,23,21,Patuha,Lampung,6,Water Quality Standard 2023,Ministry of Environment and Forestry
30,30,2022-08-23 21:44:05.504745,2022,8,23,15,Muara Karang,Sumatera Utara,2,Environmental Permit No. 123/2024,Regional Environmental Agency
31,31,2024-10-14 17:48:05.504745,2024,10,14,13,Tanjung Jati B,Jawa Barat,6,Water Quality Standard 2023,Ministry of Environment and Forestry
32,32,2025-01-29 16:42:05.504745,2025,1,29,6,Wayang Windu,NTT,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
33,33,2025-01-05 03:27:05.504745,2025,1,5,16,Tambak Lorok,Sulawesi Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
34,34,2024-07-04 13:55:05.504745,2024,7,4,19,Likupang,DKI Jakarta,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
35,35,2024-06-19 01:58:05.504745,2024,6,19,14,Grati,Jawa Tengah,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
36,36,2022-07-05 18:08:05.504745,2022,7,5,7,Sibayak,Banten,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
37,37,2022-08-04 20:59:05.504745,2022,8,4,6,Wayang Windu,NTT,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
38,38,2022-08-19 05:35:05.504745,2022,8,19,4,Kamojang,Sumatera Utara,2,Environmental Permit No. 123/2024,Regional Environmental Agency
39,39,2024-07-16 15:33:05.504745,2024,7,16,7,Sibayak,Banten,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
40,40,2025-01-14 17:06:05.504745,2025,1,14,15,Muara Karang,Sumatera Utara,2,Environmental Permit No. 123/2024,Regional Environmental Agency
41,41,2025-05-18 21:35:05.504745,2025,5,18,1,Karangkates,Jawa Timur,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
42,42,2024-06-26 16:02:05.504745,2024,6,26,21,Patuha,Lampung,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
43,43,2025-05-04 16:27:05.504745,2025,5,4,23,Sorik Marapi,Jawa Timur,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
44,44,2023-11-23 10:58:05.504745,2023,11,23,18,Jeneponto,Banten,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
45,45,2024-04-11 07:00:05.504745,2024,4,11,16,Tambak Lorok,Sulawesi Utara,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
46,46,2022-10-27 16:37:05.504745,2022,10,27,6,Wayang Windu,NTT,3,Safety Standard ISO 45001,National Standardization Agency
47,47,2025-05-19 06:02:05.504745,2025,5,19,5,Darajat,Sulawesi Utara,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
48,48,2022-09-08 04:16:05.504745,2022,9,8,3,Saguling,Jawa Tengah,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
49,49,2023-11-05 03:03:05.504745,2023,11,5,23,Sorik Marapi,Jawa Timur,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
50,50,2023-02-28 12:07:05.504745,2023,2,28,18,Jeneponto,Banten,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
51,51,2025-01-01 03:29:05.504745,2025,1,1,9,Ulumbu,Sulawesi Selatan,6,Water Quality Standard 2023,Ministry of Environment and Forestry
52,52,2025-05-08 13:55:05.504745,2025,5,8,23,Sorik Marapi,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
53,53,2024-01-11 19:54:05.504745,2024,1,11,20,Gunung Salak,Sulawesi Selatan,3,Safety Standard ISO 45001,National Standardization Agency
54,54,2022-07-28 19:34:05.504745,2022,7,28,18,Jeneponto,Banten,2,Environmental Permit No. 123/2024,Regional Environmental Agency
55,55,2023-12-23 07:11:05.504745,2023,12,23,6,Wayang Windu,NTT,2,Environmental Permit No. 123/2024,Regional Environmental Agency
56,56,2024-10-25 15:00:05.504745,2024,10,25,5,Darajat,Sulawesi Utara,3,Safety Standard ISO 45001,National Standardization Agency
57,57,2024-10-18 07:17:05.504745,2024,10,18,3,Saguling,Jawa Tengah,3,Safety Standard ISO 45001,National Standardization Agency
58,58,2024-03-24 05:06:05.504745,2024,3,24,1,Karangkates,Jawa Timur,2,Environmental Permit No. 123/2024,Regional Environmental Agency
59,59,2023-02-16 12:29:05.504745,2023,2,16,20,Gunung Salak,Sulawesi Selatan,3,Safety Standard ISO 45001,National Standardization Agency
60,60,2025-01-13 11:37:05.504745,2025,1,13,10,Mataloko,Lampung,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
61,61,2022-09-16 18:51:05.504745,2022,9,16,22,Dieng,Sumatera Selatan,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
62,62,2022-12-03 03:15:05.504745,2022,12,3,21,Patuha,Lampung,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
63,63,2023-07-22 00:21:05.504745,2023,7,22,1,Karangkates,Jawa Timur,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
64,64,2023-03-12 07:04:05.504745,2023,3,12,4,Kamojang,Sumatera Utara,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
65,65,2022-07-04 19:16:05.504745,2022,7,4,5,Darajat,Sulawesi Utara,2,Environmental Permit No. 123/2024,Regional Environmental Agency
66,66,2024-01-19 04:33:05.504745,2024,1,19,23,Sorik Marapi,Jawa Timur,6,Water Quality Standard 2023,Ministry of Environment and Forestry
67,67,2023-10-08 08:20:05.504745,2023,10,8,17,Sidrap,NTT,3,Safety Standard ISO 45001,National Standardization Agency
68,68,2023-09-12 12:37:05.504745,2023,9,12,24,Rantau Dedap,Jawa Barat,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
69,69,2023-10-21 13:58:05.504745,2023,10,21,18,Jeneponto,Banten,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
70,70,2025-05-26 06:05:05.504745,2025,5,26,18,Jeneponto,Banten,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
71,71,2024-02-15 06:42:05.504745,2024,2,15,16,Tambak Lorok,Sulawesi Utara,2,Environmental Permit No. 123/2024,Regional Environmental Agency
72,72,2024-01-01 23:11:05.504745,2024,1,1,14,Grati,Jawa Tengah,3,Safety Standard ISO 45001,National Standardization Agency
73,73,2024-09-13 03:53:05.504745,2024,9,13,21,Patuha,Lampung,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
74,74,2025-04-02 22:44:05.504745,2025,4,2,5,Darajat,Sulawesi Utara,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
75,75,2024-09-19 14:05:05.504745,2024,9,19,23,Sorik Marapi,Jawa Timur,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
76,76,2024-02-21 18:37:05.504745,2024,2,21,1,Karangkates,Jawa Timur,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
77,77,2024-09-20 11:17:05.504745,2024,9,20,6,Wayang Windu,NTT,6,Water Quality Standard 2023,Ministry of Environment and Forestry
78,78,2023-02-24 11:59:05.504745,2023,2,24,25,Muara Laboh,Jawa Tengah,2,Environmental Permit No. 123/2024,Regional Environmental Agency
79,79,2022-08-26 01:58:05.504745,2022,8,26,24,Rantau Dedap,Jawa Barat,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
80,80,2023-01-29 15:41:05.504745,2023,1,29,11,Paiton,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
81,81,2024-09-22 07:20:05.504745,2024,9,22,12,Suralaya,Jawa Timur,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
82,82,2024-09-10 13:37:05.504745,2024,9,10,17,Sidrap,NTT,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
83,83,2022-11-06 10:20:05.504745,2022,11,6,13,Tanjung Jati B,Jawa Barat,6,Water Quality Standard 2023,Ministry of Environment and Forestry
84,84,2022-09-13 19:31:05.504745,2022,9,13,5,Darajat,Sulawesi Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
85,85,2022-12-23 17:30:05.504745,2022,12,23,8,Lahendong,DKI Jakarta,6,Water Quality Standard 2023,Ministry of Environment and Forestry
86,86,2022-11-13 18:51:05.504745,2022,11,13,4,Kamojang,Sumatera Utara,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
87,87,2024-07-15 08:17:05.504745,2024,7,15,4,Kamojang,Sumatera Utara,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
88,88,2023-03-14 19:45:05.504745,2023,3,14,16,Tambak Lorok,Sulawesi Utara,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
89,89,2024-07-20 10:29:05.504745,2024,7,20,21,Patuha,Lampung,6,Water Quality Standard 2023,Ministry of Environment and Forestry
90,90,2023-12-18 00:33:05.504745,2023,12,18,24,Rantau Dedap,Jawa Barat,6,Water Quality Standard 2023,Ministry of Environment and Forestry
91,91,2023-12-07 03:41:05.504745,2023,12,7,17,Sidrap,NTT,2,Environmental Permit No. 123/2024,Regional Environmental Agency
92,92,2022-12-17 11:39:05.504745,2022,12,17,16,Tambak Lorok,Sulawesi Utara,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
93,93,2023-04-24 17:18:05.504745,2023,4,24,17,Sidrap,NTT,3,Safety Standard ISO 45001,National Standardization Agency
94,94,2025-01-10 09:40:05.504745,2025,1,10,24,Rantau Dedap,Jawa Barat,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
95,95,2025-02-20 22:49:05.504745,2025,2,20,25,Muara Laboh,Jawa Tengah,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
96,96,2024-05-10 09:08:05.504745,2024,5,10,19,Likupang,DKI Jakarta,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
97,97,2022-11-25 05:03:05.504745,2022,11,25,11,Paiton,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
98,98,2022-12-29 03:36:05.504745,2022,12,29,6,Wayang Windu,NTT,2,Environmental Permit No. 123/2024,Regional Environmental Agency
99,99,2025-03-04 02:26:05.504745,2025,3,4,11,Paiton,Sumatera Selatan,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
100,100,2024-12-20 02:03:05.504745,2024,12,20,17,Sidrap,NTT,3,Safety Standard ISO 45001,National Standardization Agency
101,101,2024-03-09 02:55:05.504745,2024,3,9,25,Muara Laboh,Jawa Tengah,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
102,102,2023-01-16 23:14:05.504745,2023,1,16,3,Saguling,Jawa Tengah,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
103,103,2024-02-19 20:02:05.504745,2024,2,19,11,Paiton,Sumatera Selatan,2,Environmental Permit No. 123/2024,Regional Environmental Agency
104,104,2024-07-07 06:59:05.504745,2024,7,7,17,Sidrap,NTT,6,Water Quality Standard 2023,Ministry of Environment and Forestry
105,105,2022-07-07 22:35:05.504745,2022,7,7,4,Kamojang,Sumatera Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
106,106,2025-05-13 08:48:05.504745,2025,5,13,21,Patuha,Lampung,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
107,107,2024-02-09 01:31:05.504745,2024,2,9,7,Sibayak,Banten,6,Water Quality Standard 2023,Ministry of Environment and Forestry
108,108,2023-02-16 11:47:05.504745,2023,2,16,24,Rantau Dedap,Jawa Barat,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
109,109,2023-07-31 20:04:05.504745,2023,7,31,3,Saguling,Jawa Tengah,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
110,110,2024-12-10 07:42:05.504745,2024,12,10,1,Karangkates,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
111,111,2024-04-07 05:59:05.504745,2024,4,7,4,Kamojang,Sumatera Utara,3,Safety Standard ISO 45001,National Standardization Agency
112,112,2022-12-07 23:11:05.504745,2022,12,7,17,Sidrap,NTT,6,Water Quality Standard 2023,Ministry of Environment and Forestry
113,113,2023-08-17 15:39:05.504745,2023,8,17,4,Kamojang,Sumatera Utara,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
114,114,2022-06-22 03:05:05.504745,2022,6,22,11,Paiton,Sumatera Selatan,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
115,115,2023-09-27 00:41:05.504745,2023,9,27,22,Dieng,Sumatera Selatan,2,Environmental Permit No. 123/2024,Regional Environmental Agency
116,116,2024-08-07 14:35:05.504745,2024,8,7,6,Wayang Windu,NTT,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
117,117,2024-02-10 13:46:05.504745,2024,2,10,8,Lahendong,DKI Jakarta,2,Environmental Permit No. 123/2024,Regional Environmental Agency
118,118,2024-01-09 04:58:05.504745,2024,1,9,7,Sibayak,Banten,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
119,119,2023-03-18 10:50:05.504745,2023,3,18,14,Grati,Jawa Tengah,6,Water Quality Standard 2023,Ministry of Environment and Forestry
120,120,2023-12-19 14:48:05.504745,2023,12,19,19,Likupang,DKI Jakarta,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
121,121,2024-06-29 05:03:05.504745,2024,6,29,24,Rantau Dedap,Jawa Barat,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
122,122,2023-10-13 12:36:05.504745,2023,10,13,24,Rantau Dedap,Jawa Barat,3,Safety Standard ISO 45001,National Standardization Agency
123,123,2024-09-22 10:32:05.504745,2024,9,22,12,Suralaya,Jawa Timur,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
124,124,2024-10-02 03:37:05.504745,2024,10,2,3,Saguling,Jawa Tengah,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
125,125,2022-10-09 11:21:05.504745,2022,10,9,17,Sidrap,NTT,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
126,126,2022-07-09 02:41:05.504745,2022,7,9,19,Likupang,DKI Jakarta,6,Water Quality Standard 2023,Ministry of Environment and Forestry
127,127,2024-08-03 11:43:05.504745,2024,8,3,24,Rantau Dedap,Jawa Barat,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
128,128,2023-12-11 09:24:05.504745,2023,12,11,12,Suralaya,Jawa Timur,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
129,129,2023-01-20 19:06:05.504745,2023,1,20,2,Cirata,Jawa Barat,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
130,130,2023-08-01 02:22:05.504745,2023,8,1,4,Kamojang,Sumatera Utara,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
131,131,2023-04-19 07:29:05.504745,2023,4,19,15,Muara Karang,Sumatera Utara,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
132,132,2022-11-24 14:56:05.504745,2022,11,24,17,Sidrap,NTT,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
133,133,2023-04-09 07:50:05.504745,2023,4,9,11,Paiton,Sumatera Selatan,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
134,134,2022-05-30 07:50:05.504745,2022,5,30,4,Kamojang,Sumatera Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
135,135,2024-04-25 14:41:05.504745,2024,4,25,25,Muara Laboh,Jawa Tengah,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
136,136,2024-11-07 08:43:05.504745,2024,11,7,17,Sidrap,NTT,2,Environmental Permit No. 123/2024,Regional Environmental Agency
137,137,2025-04-19 00:11:05.504745,2025,4,19,1,Karangkates,Jawa Timur,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
138,138,2024-12-23 12:50:05.504745,2024,12,23,16,Tambak Lorok,Sulawesi Utara,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
139,139,2023-01-02 03:36:05.504745,2023,1,2,23,Sorik Marapi,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
140,140,2022-12-16 22:14:05.504745,2022,12,16,24,Rantau Dedap,Jawa Barat,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
141,141,2023-02-14 19:25:05.504745,2023,2,14,11,Paiton,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
142,142,2023-09-23 08:02:05.504745,2023,9,23,22,Dieng,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
143,143,2023-12-24 02:20:05.504745,2023,12,24,12,Suralaya,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
144,144,2023-10-26 23:03:05.504745,2023,10,26,23,Sorik Marapi,Jawa Timur,6,Water Quality Standard 2023,Ministry of Environment and Forestry
145,145,2024-12-15 00:08:05.504745,2024,12,15,6,Wayang Windu,NTT,3,Safety Standard ISO 45001,National Standardization Agency
146,146,2023-12-16 10:11:05.504745,2023,12,16,20,Gunung Salak,Sulawesi Selatan,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
147,147,2024-01-17 18:12:05.504745,2024,1,17,11,Paiton,Sumatera Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
148,148,2023-03-23 10:13:05.504745,2023,3,23,22,Dieng,Sumatera Selatan,6,Water Quality Standard 2023,Ministry of Environment and Forestry
149,149,2024-01-18 12:27:05.504745,2024,1,18,1,Karangkates,Jawa Timur,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
150,150,2023-07-24 03:07:05.504745,2023,7,24,2,Cirata,Jawa Barat,6,Water Quality Standard 2023,Ministry of Environment and Forestry
151,151,2023-09-09 12:39:05.504745,2023,9,9,20,Gunung Salak,Sulawesi Selatan,3,Safety Standard ISO 45001,National Standardization Agency
152,152,2022-08-07 14:01:05.504745,2022,8,7,21,Patuha,Lampung,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
153,153,2024-06-30 04:55:05.504745,2024,6,30,1,Karangkates,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
154,154,2024-12-23 01:35:05.504745,2024,12,23,3,Saguling,Jawa Tengah,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
155,155,2024-06-25 07:14:05.504745,2024,6,25,10,Mataloko,Lampung,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
156,156,2024-02-23 01:53:05.504745,2024,2,23,23,Sorik Marapi,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
157,157,2022-07-12 00:29:05.504745,2022,7,12,12,Suralaya,Jawa Timur,6,Water Quality Standard 2023,Ministry of Environment and Forestry
158,158,2024-12-01 08:44:05.504745,2024,12,1,13,Tanjung Jati B,Jawa Barat,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
159,159,2023-08-12 04:06:05.504745,2023,8,12,24,Rantau Dedap,Jawa Barat,2,Environmental Permit No. 123/2024,Regional Environmental Agency
160,160,2022-11-19 00:50:05.504745,2022,11,19,8,Lahendong,DKI Jakarta,6,Water Quality Standard 2023,Ministry of Environment and Forestry
161,161,2022-09-06 12:08:05.504745,2022,9,6,1,Karangkates,Jawa Timur,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
162,162,2023-03-16 07:50:05.504745,2023,3,16,24,Rantau Dedap,Jawa Barat,6,Water Quality Standard 2023,Ministry of Environment and Forestry
163,163,2024-11-30 14:57:05.504745,2024,11,30,9,Ulumbu,Sulawesi Selatan,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
164,164,2024-05-30 15:03:05.504745,2024,5,30,24,Rantau Dedap,Jawa Barat,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
165,165,2024-10-01 11:13:05.504745,2024,10,1,10,Mataloko,Lampung,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
166,166,2024-02-17 04:27:05.504745,2024,2,17,17,Sidrap,NTT,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
167,167,2024-06-21 15:18:05.504745,2024,6,21,14,Grati,Jawa Tengah,2,Environmental Permit No. 123/2024,Regional Environmental Agency
168,168,2023-09-23 06:20:05.504745,2023,9,23,5,Darajat,Sulawesi Utara,5,Operational License No. 789/SK/2023,State Electricity Company (PLN)
169,169,2024-08-21 11:25:05.504745,2024,8,21,6,Wayang Windu,NTT,6,Water Quality Standard 2023,Ministry of Environment and Forestry
170,170,2025-01-25 23:17:05.504745,2025,1,25,20,Gunung Salak,Sulawesi Selatan,3,Safety Standard ISO 45001,National Standardization Agency
171,171,2022-08-22 08:31:05.504745,2022,8,22,9,Ulumbu,Sulawesi Selatan,2,Environmental Permit No. 123/2024,Regional Environmental Agency
172,172,2022-07-24 21:08:05.504745,2022,7,24,16,Tambak Lorok,Sulawesi Utara,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
173,173,2024-01-31 20:15:05.504745,2024,1,31,14,Grati,Jawa Tengah,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
174,174,2024-09-29 06:28:05.504745,2024,9,29,10,Mataloko,Lampung,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
175,175,2023-05-01 04:33:05.504745,2023,5,1,10,Mataloko,Lampung,3,Safety Standard ISO 45001,National Standardization Agency
176,176,2023-04-12 03:53:05.504745,2023,4,12,15,Muara Karang,Sumatera Utara,6,Water Quality Standard 2023,Ministry of Environment and Forestry
177,177,2024-04-26 20:37:05.504745,2024,4,26,16,Tambak Lorok,Sulawesi Utara,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
178,178,2024-05-13 16:52:05.504745,2024,5,13,18,Jeneponto,Banten,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
179,179,2023-06-19 22:06:05.504745,2023,6,19,20,Gunung Salak,Sulawesi Selatan,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
180,180,2024-07-11 13:34:05.504745,2024,7,11,15,Muara Karang,Sumatera Utara,3,Safety Standard ISO 45001,National Standardization Agency
181,181,2022-08-11 06:20:05.504745,2022,8,11,23,Sorik Marapi,Jawa Timur,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
182,182,2023-10-10 16:56:05.504745,2023,10,10,8,Lahendong,DKI Jakarta,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
183,183,2023-03-27 20:38:05.504745,2023,3,27,19,Likupang,DKI Jakarta,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
184,184,2023-08-10 08:49:05.504745,2023,8,10,19,Likupang,DKI Jakarta,7,Air Emission Standards 2024,Ministry of Energy and Mineral Resources
185,185,2022-07-04 10:29:05.504745,2022,7,4,2,Cirata,Jawa Barat,1,Grid Code Rev. 4.1,Ministry of Energy and Mineral Resources
186,186,2024-04-10 02:19:05.504745,2024,4,10,20,Gunung Salak,Sulawesi Selatan,2,Environmental Permit No. 123/2024,Regional Environmental Agency
187,187,2024-11-02 05:41:05.504745,2024,11,2,19,Likupang,DKI Jakarta,6,Water Quality Standard 2023,Ministry of Environment and Forestry
188,188,2025-02-12 13:31:05.504745,2025,2,12,1,Karangkates,Jawa Timur,3,Safety Standard ISO 45001,National Standardization Agency
189,189,2023-01-07 08:16:05.504745,2023,1,7,9,Ulumbu,Sulawesi Selatan,4,Renewable Energy Tariff Regulation 2025,Local Government Energy Office
190,190,2024-08-05 12:49:05.504745,2024,8,5,22,Dieng,Sumatera Selatan,6,Water Quality Standard 2023,Ministry of Environment and Forestry
