id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,energy_type_id,Energy_Type_Name,weather_id,Weather_Condition,Weather_Temperature,equipment_id,Equipment_Name,Equipment_Type,Equipment_Rated_Capacity,Equipment_Operational_Status,electricity_Production(kWh)
11,11,2023-09-24 10:53:43.797236,2023,9,24,3,Saguling,Jawa Tengah,3,PLTA,3,Cloudy,18.8,97,PLTA Turbine T-Francis,Generator,525.12,Operational,488.03
12,12,2024-03-05 14:05:43.797236,2024,3,5,25,Muara Laboh,Jawa Tengah,2,PLTB,5,Rain Showers,36.4,59,Blade Set AeroPro,Turbine,1466.76,Degraded,1077.8
13,13,2024-07-12 02:31:43.797236,2024,7,12,8,Lahendong,DKI Jakarta,6,PLTG,8,Hazy,20.9,50,Fuel Tank PetroStore 50KL,Generator Set,1846.95,Standby,1244.03
14,14,2024-09-07 03:37:43.797236,2024,9,7,24,Rantau Dedap,Jawa Barat,6,PLTG,3,Cloudy,34.7,55,Engine Cummins KTA50,Generator Set,332.82,Operational,387.63
15,15,2023-11-18 09:53:43.797236,2023,11,18,10,Mataloko,Lampung,3,PLTA,6,Thunderstorm,38.3,42,Pelton Wheel AquaForce,Generator,315.48,Failed,724.13
16,16,2025-04-10 12:44:43.797236,2025,4,10,15,Muara Karang,Sumatera Utara,5,PLTG,4,Overcast,25.6,9,Gasifier WoodChip X200,Feeder System,213.03,Standby,432.61
17,17,2025-03-04 06:54:43.797236,2025,3,4,5,Darajat,Sulawesi Utara,6,PLTG,6,Thunderstorm,37.8,29,PLTG Generator CAT D1000,Engine,301.6,Degraded,1256.49
18,18,2024-08-04 09:08:43.797236,2024,8,4,14,Grati,Jawa Tengah,3,PLTA,6,Thunderstorm,25.1,42,Pelton Wheel AquaForce,Generator,972.25,Standby,1189.74
19,19,2024-05-02 22:17:43.797236,2024,5,2,17,Sidrap,NTT,3,PLTA,2,Partly Cloudy,10.9,45,Kaplan Turbine FlowMax,Generator,1512.87,Operational,114.94
20,20,2024-03-30 11:16:43.797236,2024,3,30,16,Tambak Lorok,Sulawesi Utara,6,PLTG,1,Clear,19.6,24,PLTG Generator CAT D1000,Exhaust System,1633.99,Standby,0.65
21,21,2024-05-23 08:34:43.797236,2024,5,23,17,Sidrap,NTT,1,PLTS,7,Foggy,30.3,83,PLTS Panel Array Alpha,Tracker,1716.57,Maintenance,27.76
22,22,2025-04-01 12:26:43.797236,2025,4,1,21,Patuha,Lampung,6,PLTG,4,Overcast,20.0,93,Fuel Tank PetroStore 50KL,Exhaust System,275.79,Degraded,1326.47
23,23,2024-07-03 06:43:43.797236,2024,7,3,21,Patuha,Lampung,5,PLTG,6,Thunderstorm,33.6,90,Steam Turbine BioSteam Z,Gasifier,498.92,Failed,912.82
24,24,2023-10-07 18:26:43.797236,2023,10,7,23,Sorik Marapi,Jawa Timur,6,PLTG,8,Hazy,34.3,87,Fuel Tank PetroStore 50KL,Engine,1891.87,Maintenance,411.11
25,25,2024-08-17 08:11:43.797236,2024,8,17,11,Paiton,Sumatera Selatan,1,PLTS,1,Clear,32.5,62,PLTS Panel B-Series X,Inverter,1987.27,Standby,391.05
26,26,2023-08-04 23:13:43.797236,2023,8,4,14,Grati,Jawa Tengah,3,PLTA,1,Clear,36.3,74,Generator PLTAGenX,Spillway Gate,200.5,Standby,55.32
27,27,2024-01-20 15:45:43.797236,2024,1,20,8,Lahendong,DKI Jakarta,3,PLTA,1,Clear,34.6,49,Kaplan Turbine FlowMax,Generator,241.37,Standby,291.47
28,28,2025-01-14 16:07:43.797236,2025,1,14,22,Dieng,Sumatera Selatan,3,PLTA,1,Clear,35.0,39,PLTA Turbine T-Francis,Turbine,1137.47,Standby,1085.83
29,29,2023-07-27 11:22:43.797236,2023,7,27,6,Wayang PLTBu,NTT,4,PLTG,3,Cloudy,15.2,68,Cooling Tower GeoCool,Wellhead,1060.48,Standby,1464.09
30,30,2025-02-25 16:56:43.797236,2025,2,25,15,Muara Karang,Sumatera Utara,6,PLTG,6,Thunderstorm,36.9,55,Engine Cummins KTA50,Generator Set,432.33,Failed,326.74
31,31,2024-01-07 02:20:43.797236,2024,1,7,22,Dieng,Sumatera Selatan,6,PLTG,3,Cloudy,14.0,100,PLTG Generator CAT D1000,Fuel System,532.45,Maintenance,658.48
32,32,2024-03-05 13:55:43.797236,2024,3,5,24,Rantau Dedap,Jawa Barat,6,PLTG,7,Foggy,12.6,55,Engine Cummins KTA50,Generator Set,128.7,Failed,1223.3
33,33,2024-04-14 08:07:43.797236,2024,4,14,8,Lahendong,DKI Jakarta,2,PLTB,1,Clear,34.8,88,Gearbox PLTBMaster,Gearbox,956.59,Degraded,862.05
34,34,2024-11-26 16:41:43.797236,2024,11,26,8,Lahendong,DKI Jakarta,3,PLTA,2,Partly Cloudy,28.6,42,Pelton Wheel AquaForce,Generator,325.52,Operational,485.05
35,35,2024-12-14 06:44:43.797236,2024,12,14,14,Grati,Jawa Tengah,3,PLTA,8,Hazy,28.3,70,Generator PLTAGenX,Generator,1218.51,Operational,137.5
36,36,2024-06-14 15:36:43.797236,2024,6,14,2,Cirata,Jawa Barat,3,PLTA,4,Overcast,27.2,46,Generator PLTAGenX,Turbine,124.08,Standby,993.02
37,37,2024-10-20 16:56:43.797236,2024,10,20,5,Darajat,Sulawesi Utara,3,PLTA,6,Thunderstorm,27.7,49,Kaplan Turbine FlowMax,Generator,1285.25,Operational,989.21
38,38,2024-04-22 08:19:43.797236,2024,4,22,16,Tambak Lorok,Sulawesi Utara,3,PLTA,1,Clear,23.9,39,PLTA Turbine T-Francis,Turbine,1217.43,Failed,1163.28
39,39,2025-02-27 17:03:43.797236,2025,2,27,4,Kamojang,Sumatera Utara,4,PLTG,4,Overcast,35.2,48,Binary Cycle Plant GeoFlow,Condenser,329.37,Standby,1326.48
40,40,2023-09-13 00:34:43.797236,2023,9,13,12,Suralaya,Jawa Timur,4,PLTG,7,Foggy,23.3,15,Wellhead Unit AlphaTherm,Wellhead,675.85,Maintenance,515.65
41,41,2024-07-19 01:32:43.797236,2024,7,19,15,Muara Karang,Sumatera Utara,2,PLTB,7,Foggy,36.8,88,Gearbox PLTBMaster,Gearbox,1243.61,Failed,684.45
42,42,2024-08-01 02:25:43.797236,2024,8,1,20,Gunung Salak,Sulawesi Selatan,3,PLTA,6,Thunderstorm,29.7,31,Generator PLTAGenX,Penstock,921.37,Failed,660.52
43,43,2024-02-23 18:49:43.797236,2024,2,23,5,Darajat,Sulawesi Utara,6,PLTG,5,Rain Showers,19.1,58,Engine Cummins KTA50,Fuel System,442.07,Operational,1357.68
44,44,2023-06-16 08:48:43.797236,2023,6,16,14,Grati,Jawa Tengah,1,PLTS,4,Overcast,24.3,23,Central Inverter SunGrow,Tracker,1507.04,Failed,609.18
45,45,2023-10-03 07:45:43.797236,2023,10,3,14,Grati,Jawa Tengah,6,PLTG,2,Partly Cloudy,17.5,87,Fuel Tank PetroStore 50KL,Engine,1913.22,Operational,205.51
46,46,2023-12-05 02:29:43.797236,2023,12,5,10,Mataloko,Lampung,5,PLTG,1,Clear,26.7,90,Steam Turbine BioSteam Z,Gasifier,901.02,Maintenance,63.23
47,47,2025-04-12 22:10:43.797236,2025,4,12,21,Patuha,Lampung,6,PLTG,1,Clear,35.6,78,Fuel Tank PetroStore 50KL,Exhaust System,354.96,Operational,1119.58
48,48,2024-08-21 17:57:43.797236,2024,8,21,1,Karangkates,Jawa Timur,3,PLTA,7,Foggy,28.2,56,PLTA Turbine T-Francis,Generator,1189.74,Degraded,580.84
49,49,2024-01-05 20:17:43.797236,2024,1,5,20,Gunung Salak,Sulawesi Selatan,1,PLTS,2,Partly Cloudy,13.7,32,PLTS Panel B-Series X,Photovoltaic Panel,683.43,Degraded,960.26
50,50,2023-08-10 13:34:43.797236,2023,8,10,3,Saguling,Jawa Tengah,6,PLTG,2,Partly Cloudy,15.9,78,Fuel Tank PetroStore 50KL,Exhaust System,229.46,Operational,972.93
51,51,2023-09-22 07:00:43.797236,2023,9,22,17,Sidrap,NTT,1,PLTS,5,Rain Showers,20.6,95,PLTS Panel B-Series X,Tracker,1091.14,Standby,1445.89
52,52,2025-02-19 04:11:43.797236,2025,2,19,13,Tanjung Jati B,Jawa Barat,5,PLTG,3,Cloudy,21.7,65,Pelletizer BioFuel,Turbine,177.76,Degraded,1018.76
53,53,2024-01-27 11:03:43.797236,2024,1,27,23,Sorik Marapi,Jawa Timur,6,PLTG,2,Partly Cloudy,40.0,84,Engine Cummins KTA50,Exhaust System,1330.89,Maintenance,174.56
54,54,2024-07-11 06:52:43.797236,2024,7,11,8,Lahendong,DKI Jakarta,3,PLTA,1,Clear,16.3,85,PLTA Turbine T-Francis,Turbine,483.13,Degraded,1345.52
55,55,2024-07-11 00:16:43.797236,2024,7,11,14,Grati,Jawa Tengah,5,PLTG,7,Foggy,18.7,16,Pelletizer BioFuel,Feeder System,1059.59,Standby,1160.93
56,56,2024-01-12 14:36:43.797236,2024,1,12,2,Cirata,Jawa Barat,4,PLTG,4,Overcast,10.8,8,Steam Turbine GeoPower X1,Wellhead,1055.2,Maintenance,166.77
57,57,2025-04-08 09:39:43.797236,2025,4,8,15,Muara Karang,Sumatera Utara,5,PLTG,6,Thunderstorm,23.7,47,PLTG Boiler BioBurn R1,Boiler,1497.16,Failed,987.18
58,58,2023-05-30 02:13:43.797236,2023,5,30,2,Cirata,Jawa Barat,2,PLTB,3,Cloudy,35.3,12,PLTB Turbine G100,Nacelle,1650.24,Degraded,442.09
59,59,2024-04-30 07:35:43.797236,2024,4,30,25,Muara Laboh,Jawa Tengah,3,PLTA,3,Cloudy,20.9,39,PLTA Turbine T-Francis,Turbine,574.07,Maintenance,348.93
60,60,2024-01-01 09:01:43.797236,2024,1,1,2,Cirata,Jawa Barat,2,PLTB,7,Foggy,37.7,38,PLTB Turbine Vestas V120,Generator,1154.34,Operational,413.93
61,61,2024-06-04 19:22:43.797236,2024,6,4,5,Darajat,Sulawesi Utara,2,PLTB,4,Overcast,35.9,91,PLTB Turbine G100,Turbine,359.37,Standby,852.29
62,62,2023-07-06 21:32:43.797236,2023,7,6,18,Jeneponto,Banten,3,PLTA,2,Partly Cloudy,38.1,73,PLTA Turbine T-Francis,Turbine,1800.51,Standby,1409.63
63,63,2024-05-10 20:01:43.797236,2024,5,10,17,Sidrap,NTT,1,PLTS,1,Clear,11.6,98,Inverter SolMax 5000,Inverter,1442.94,Failed,488.56
64,64,2025-05-10 03:18:43.797236,2025,5,10,23,Sorik Marapi,Jawa Timur,2,PLTB,7,Foggy,21.6,20,PLTB Turbine G100,Nacelle,652.84,Failed,147.06
65,65,2023-08-01 00:53:43.797236,2023,8,1,18,Jeneponto,Banten,3,PLTA,4,Overcast,29.7,42,Pelton Wheel AquaForce,Generator,1074.37,Failed,1051.87
66,66,2024-07-20 16:51:43.797236,2024,7,20,24,Rantau Dedap,Jawa Barat,4,PLTG,5,Rain Showers,18.2,27,Binary Cycle Plant GeoFlow,Wellhead,952.92,Maintenance,308.42
67,67,2025-03-06 03:10:43.797236,2025,3,6,4,Kamojang,Sumatera Utara,3,PLTA,7,Foggy,12.7,97,PLTA Turbine T-Francis,Generator,497.2,Failed,41.95
68,68,2024-04-15 21:59:43.797236,2024,4,15,20,Gunung Salak,Sulawesi Selatan,5,PLTG,5,Rain Showers,21.9,18,Pelletizer BioFuel,Feeder System,228.48,Failed,649.0
69,69,2023-12-05 05:02:43.797236,2023,12,5,23,Sorik Marapi,Jawa Timur,3,PLTA,4,Overcast,38.0,25,Pelton Wheel AquaForce,Spillway Gate,1221.27,Standby,1466.07
70,70,2024-08-05 15:34:43.797236,2024,8,5,7,Sibayak,Banten,5,PLTG,7,Foggy,25.2,18,Pelletizer BioFuel,Feeder System,140.12,Failed,324.57
71,71,2023-12-14 08:25:43.797236,2023,12,14,24,Rantau Dedap,Jawa Barat,6,PLTG,5,Rain Showers,36.1,55,Engine Cummins KTA50,Generator Set,190.39,Operational,1167.78
72,72,2024-06-05 17:09:43.797236,2024,6,5,23,Sorik Marapi,Jawa Timur,6,PLTG,8,Hazy,26.0,29,PLTG Generator CAT D1000,Engine,580.97,Operational,1333.31
73,73,2024-07-24 02:21:43.797236,2024,7,24,19,Likupang,DKI Jakarta,3,PLTA,4,Overcast,24.1,3,PLTA Turbine T-Francis,Turbine,1305.25,Standby,946.24
74,74,2024-05-19 13:24:43.797236,2024,5,19,20,Gunung Salak,Sulawesi Selatan,3,PLTA,3,Cloudy,38.6,97,PLTA Turbine T-Francis,Generator,1805.33,Failed,1393.24
75,75,2023-12-17 06:47:43.797236,2023,12,17,25,Muara Laboh,Jawa Tengah,4,PLTG,4,Overcast,30.9,27,Binary Cycle Plant GeoFlow,Wellhead,433.66,Failed,1146.82
76,76,2023-08-26 02:46:43.797236,2023,8,26,16,Tambak Lorok,Sulawesi Utara,1,PLTS,4,Overcast,18.4,52,PLTS Panel Array Alpha,Tracker,1364.12,Operational,1275.35
77,77,2025-01-26 10:11:43.797236,2025,1,26,11,Paiton,Sumatera Selatan,3,PLTA,4,Overcast,27.5,77,Kaplan Turbine FlowMax,Generator,652.33,Operational,1142.91
78,78,2024-04-27 16:28:43.797236,2024,4,27,23,Sorik Marapi,Jawa Timur,1,PLTS,5,Rain Showers,37.6,23,Central Inverter SunGrow,Tracker,1110.6,Degraded,215.22
79,79,2023-10-06 06:14:43.797236,2023,10,6,10,Mataloko,Lampung,3,PLTA,5,Rain Showers,21.5,36,Pelton Wheel AquaForce,Turbine,1030.08,Degraded,1391.29
80,80,2025-04-01 12:48:43.797236,2025,4,1,7,Sibayak,Banten,1,PLTS,1,Clear,15.9,62,PLTS Panel B-Series X,Inverter,542.19,Failed,653.29
81,81,2023-11-18 13:05:43.797236,2023,11,18,9,Ulumbu,Sulawesi Selatan,2,PLTB,2,Partly Cloudy,17.2,38,PLTB Turbine Vestas V120,Generator,762.77,Degraded,1012.58
82,82,2023-10-03 11:04:43.797236,2023,10,3,1,Karangkates,Jawa Timur,3,PLTA,5,Rain Showers,20.5,39,PLTA Turbine T-Francis,Turbine,1748.53,Maintenance,1017.32
83,83,2025-04-26 09:25:43.797236,2025,4,26,17,Sidrap,NTT,6,PLTG,2,Partly Cloudy,22.0,58,Engine Cummins KTA50,Fuel System,1933.11,Standby,639.89
84,84,2024-10-31 11:21:43.797236,2024,10,31,17,Sidrap,NTT,6,PLTG,4,Overcast,21.1,58,Engine Cummins KTA50,Fuel System,1411.74,Degraded,909.7
85,85,2025-01-13 10:32:43.797236,2025,1,13,1,Karangkates,Jawa Timur,1,PLTS,3,Cloudy,27.5,32,PLTS Panel B-Series X,Photovoltaic Panel,771.62,Degraded,244.96
86,86,2025-04-06 20:02:43.797236,2025,4,6,5,Darajat,Sulawesi Utara,3,PLTA,6,Thunderstorm,34.9,73,PLTA Turbine T-Francis,Turbine,1591.59,Failed,1100.24
87,87,2024-07-08 11:18:43.797236,2024,7,8,10,Mataloko,Lampung,1,PLTS,6,Thunderstorm,23.9,62,PLTS Panel B-Series X,Inverter,834.1,Maintenance,1257.73
88,88,2025-05-07 03:45:43.797236,2025,5,7,18,Jeneponto,Banten,2,PLTB,5,Rain Showers,12.0,88,Gearbox PLTBMaster,Gearbox,1149.03,Standby,608.19
89,89,2023-07-02 06:50:43.797236,2023,7,2,11,Paiton,Sumatera Selatan,1,PLTS,7,Foggy,24.4,40,PLTS Panel B-Series X,Inverter,580.83,Operational,180.53
90,90,2023-08-22 10:24:43.797236,2023,8,22,16,Tambak Lorok,Sulawesi Utara,1,PLTS,1,Clear,38.4,23,Central Inverter SunGrow,Tracker,1233.1,Maintenance,921.89
91,91,2023-12-31 00:25:43.797236,2023,12,31,4,Kamojang,Sumatera Utara,1,PLTS,7,Foggy,34.5,52,PLTS Panel Array Alpha,Tracker,1157.6,Failed,1450.81
92,92,2024-12-04 14:04:43.797236,2024,12,4,17,Sidrap,NTT,3,PLTA,1,Clear,18.4,36,Pelton Wheel AquaForce,Turbine,309.83,Maintenance,137.89
93,93,2024-01-30 03:53:43.797236,2024,1,30,21,Patuha,Lampung,1,PLTS,7,Foggy,22.2,95,PLTS Panel B-Series X,Tracker,812.34,Degraded,925.26
94,94,2025-01-12 06:34:43.797236,2025,1,12,19,Likupang,DKI Jakarta,5,PLTG,3,Cloudy,32.0,90,Steam Turbine BioSteam Z,Gasifier,568.0,Maintenance,344.32
95,95,2024-11-12 22:02:43.797236,2024,11,12,11,Paiton,Sumatera Selatan,1,PLTS,6,Thunderstorm,36.0,40,PLTS Panel B-Series X,Inverter,1029.4,Degraded,851.41
96,96,2024-04-01 06:18:43.797236,2024,4,1,3,Saguling,Jawa Tengah,5,PLTG,5,Rain Showers,36.0,72,Steam Turbine BioSteam Z,Turbine,707.81,Degraded,864.07
97,97,2025-01-16 10:29:43.797236,2025,1,16,7,Sibayak,Banten,6,PLTG,5,Rain Showers,17.0,87,Fuel Tank PetroStore 50KL,Engine,1613.56,Maintenance,612.17
98,98,2024-01-04 00:08:43.797236,2024,1,4,9,Ulumbu,Sulawesi Selatan,5,PLTG,6,Thunderstorm,10.8,47,PLTG Boiler BioBurn R1,Boiler,761.26,Degraded,486.02
99,99,2024-07-14 11:40:43.797236,2024,7,14,23,Sorik Marapi,Jawa Timur,5,PLTG,1,Clear,30.7,65,Pelletizer BioFuel,Turbine,244.19,Failed,1349.45
100,100,2024-08-24 15:12:43.797236,2024,8,24,5,Darajat,Sulawesi Utara,3,PLTA,1,Clear,30.9,70,Generator PLTAGenX,Generator,152.6,Standby,1091.43
101,101,2025-03-25 18:40:43.797236,2025,3,25,6,Wayang PLTBu,NTT,3,PLTA,7,Foggy,15.8,31,Generator PLTAGenX,Penstock,373.03,Maintenance,1295.83
102,102,2024-09-27 04:11:43.797236,2024,9,27,16,Tambak Lorok,Sulawesi Utara,6,PLTG,1,Clear,18.0,21,PLTG Generator CAT D1000,Fuel System,589.09,Standby,851.06
103,103,2023-05-31 06:21:43.797236,2023,5,31,10,Mataloko,Lampung,1,PLTS,8,Hazy,11.0,34,Inverter SolMax 5000,Tracker,1197.26,Maintenance,199.17
104,104,2023-06-20 22:42:43.797236,2023,6,20,14,Grati,Jawa Tengah,3,PLTA,1,Clear,23.0,31,Generator PLTAGenX,Penstock,103.6,Failed,739.8
105,105,2024-09-07 14:12:43.797236,2024,9,7,18,Jeneponto,Banten,1,PLTS,4,Overcast,23.1,83,PLTS Panel Array Alpha,Tracker,200.51,Maintenance,905.58
106,106,2023-07-13 18:28:43.797236,2023,7,13,1,Karangkates,Jawa Timur,1,PLTS,3,Cloudy,28.2,92,Central Inverter SunGrow,Inverter,1148.36,Failed,838.68
107,107,2023-08-02 16:50:43.797236,2023,8,2,1,Karangkates,Jawa Timur,5,PLTG,6,Thunderstorm,23.1,9,Gasifier WoodChip X200,Feeder System,1365.24,Degraded,26.5
108,108,2024-05-13 18:52:43.797236,2024,5,13,1,Karangkates,Jawa Timur,5,PLTG,7,Foggy,10.0,90,Steam Turbine BioSteam Z,Gasifier,1512.5,Failed,352.66
109,109,2024-07-15 13:38:43.797236,2024,7,15,9,Ulumbu,Sulawesi Selatan,6,PLTG,6,Thunderstorm,31.7,55,Engine Cummins KTA50,Generator Set,1700.41,Failed,390.05
110,110,2024-03-26 06:19:43.797236,2024,3,26,2,Cirata,Jawa Barat,4,PLTG,2,Partly Cloudy,38.8,15,Wellhead Unit AlphaTherm,Wellhead,285.31,Operational,136.6
111,111,2024-03-21 17:59:43.797236,2024,3,21,21,Patuha,Lampung,4,PLTG,5,Rain Showers,27.3,48,Binary Cycle Plant GeoFlow,Condenser,643.95,Failed,1151.76
112,112,2024-10-27 16:00:43.797236,2024,10,27,22,Dieng,Sumatera Selatan,3,PLTA,6,Thunderstorm,16.6,85,PLTA Turbine T-Francis,Turbine,1279.53,Standby,1014.09
113,113,2024-01-17 18:14:43.797236,2024,1,17,23,Sorik Marapi,Jawa Timur,6,PLTG,3,Cloudy,21.9,19,Alternator PLTGGen Pro,Engine,102.25,Degraded,1303.39
114,114,2024-03-02 19:19:43.797236,2024,3,2,8,Lahendong,DKI Jakarta,4,PLTG,4,Overcast,21.5,79,Wellhead Unit AlphaTherm,Steam Turbine,604.88,Standby,1453.34
115,115,2025-05-19 20:54:43.797236,2025,5,19,6,Wayang PLTBu,NTT,3,PLTA,2,Partly Cloudy,36.8,42,Pelton Wheel AquaForce,Generator,384.03,Failed,1394.31
116,116,2023-07-08 20:10:43.797236,2023,7,8,4,Kamojang,Sumatera Utara,3,PLTA,5,Rain Showers,35.3,70,Generator PLTAGenX,Generator,433.61,Maintenance,457.5
117,117,2025-05-18 05:27:43.797236,2025,5,18,15,Muara Karang,Sumatera Utara,3,PLTA,5,Rain Showers,12.4,97,PLTA Turbine T-Francis,Generator,1951.29,Failed,390.69
118,118,2023-12-10 02:49:43.797236,2023,12,10,19,Likupang,DKI Jakarta,3,PLTA,4,Overcast,33.1,56,PLTA Turbine T-Francis,Generator,470.35,Operational,259.91
119,119,2024-10-16 12:53:43.797236,2024,10,16,4,Kamojang,Sumatera Utara,4,PLTG,5,Rain Showers,11.9,5,Binary Cycle Plant GeoFlow,Heat Exchanger,1573.69,Degraded,703.37
120,120,2024-04-25 14:43:43.797236,2024,4,25,11,Paiton,Sumatera Selatan,2,PLTB,4,Overcast,31.5,20,PLTB Turbine G100,Nacelle,1282.66,Degraded,361.71
121,121,2023-12-13 12:10:43.797236,2023,12,13,18,Jeneponto,Banten,1,PLTS,3,Cloudy,12.6,99,Central Inverter SunGrow,Photovoltaic Panel,1553.7,Maintenance,975.25
122,122,2023-06-07 17:14:43.797236,2023,6,7,14,Grati,Jawa Tengah,1,PLTS,4,Overcast,33.4,44,PLTS Panel B-Series X,Mounting System,1076.04,Degraded,173.3
123,123,2023-07-08 08:02:43.797236,2023,7,8,16,Tambak Lorok,Sulawesi Utara,6,PLTG,2,Partly Cloudy,24.5,57,PLTG Generator CAT D1000,Generator Set,1631.64,Maintenance,1108.03
124,124,2025-01-02 18:49:43.797236,2025,1,2,8,Lahendong,DKI Jakarta,1,PLTS,6,Thunderstorm,33.8,34,Inverter SolMax 5000,Tracker,1306.48,Degraded,126.65
125,125,2025-02-24 06:30:43.797236,2025,2,24,5,Darajat,Sulawesi Utara,6,PLTG,3,Cloudy,35.8,66,Alternator PLTGGen Pro,Exhaust System,1026.49,Failed,355.39
126,126,2024-08-28 06:50:43.797236,2024,8,28,5,Darajat,Sulawesi Utara,1,PLTS,5,Rain Showers,24.5,44,PLTS Panel B-Series X,Mounting System,821.84,Failed,1337.05
127,127,2024-12-12 08:53:43.797236,2024,12,12,25,Muara Laboh,Jawa Tengah,3,PLTA,1,Clear,35.7,82,Generator PLTAGenX,Spillway Gate,450.97,Standby,1346.53
128,128,2024-05-24 10:04:43.797236,2024,5,24,3,Saguling,Jawa Tengah,2,PLTB,4,Overcast,18.1,38,PLTB Turbine Vestas V120,Generator,1408.84,Operational,262.09
129,129,2025-01-10 14:52:43.797236,2025,1,10,14,Grati,Jawa Tengah,5,PLTG,4,Overcast,15.3,33,Steam Turbine BioSteam Z,Feeder System,1799.31,Maintenance,926.26
130,130,2024-07-20 21:34:43.797236,2024,7,20,19,Likupang,DKI Jakarta,2,PLTB,5,Rain Showers,32.1,64,Gearbox PLTBMaster,Turbine,1785.76,Failed,612.66
131,131,2025-01-04 11:30:43.797236,2025,1,4,13,Tanjung Jati B,Jawa Barat,3,PLTA,8,Hazy,30.5,60,Pelton Wheel AquaForce,Turbine,1949.14,Operational,772.18
132,132,2024-09-26 16:58:43.797236,2024,9,26,18,Jeneponto,Banten,2,PLTB,1,Clear,13.3,20,PLTB Turbine G100,Nacelle,1051.02,Degraded,249.26
133,133,2024-05-01 18:54:43.797236,2024,5,1,12,Suralaya,Jawa Timur,5,PLTG,7,Foggy,34.3,41,Steam Turbine BioSteam Z,Turbine,515.76,Maintenance,479.66
134,134,2023-10-06 04:06:43.797236,2023,10,6,1,Karangkates,Jawa Timur,2,PLTB,5,Rain Showers,18.3,64,Gearbox PLTBMaster,Turbine,466.2,Standby,993.68
135,135,2024-06-02 19:43:43.797236,2024,6,2,4,Kamojang,Sumatera Utara,2,PLTB,4,Overcast,10.1,88,Gearbox PLTBMaster,Gearbox,1194.57,Standby,958.41
136,136,2024-06-08 04:53:43.797236,2024,6,8,22,Dieng,Sumatera Selatan,1,PLTS,6,Thunderstorm,33.4,52,PLTS Panel Array Alpha,Tracker,1071.5,Maintenance,1151.87
137,137,2023-07-29 12:10:43.797236,2023,7,29,8,Lahendong,DKI Jakarta,4,PLTG,5,Rain Showers,14.2,37,Binary Cycle Plant GeoFlow,Steam Turbine,588.22,Standby,1469.31
138,138,2023-11-25 10:51:43.797236,2023,11,25,22,Dieng,Sumatera Selatan,4,PLTG,4,Overcast,13.6,68,Cooling Tower GeoCool,Wellhead,1450.24,Degraded,20.13
139,139,2023-12-31 01:01:43.797236,2023,12,31,22,Dieng,Sumatera Selatan,6,PLTG,1,Clear,28.2,55,Engine Cummins KTA50,Generator Set,1592.65,Maintenance,1032.8
140,140,2024-07-05 17:11:43.797236,2024,7,5,23,Sorik Marapi,Jawa Timur,4,PLTG,8,Hazy,27.6,96,Binary Cycle Plant GeoFlow,Heat Exchanger,1233.47,Operational,1318.56
141,141,2023-08-18 14:38:43.797236,2023,8,18,1,Karangkates,Jawa Timur,4,PLTG,1,Clear,25.4,17,Binary Cycle Plant GeoFlow,Wellhead,1498.55,Standby,739.66
