id,time_id,Time_Date,Time_Year,Time_Month,Time_Day,site_id,Site_Name,Site_Location,equipment_id,Equipment_Name,Equipment_Type,Equipment_Rated_Capacity,Equipment_Operational_Status,energy_type_id,Energy_Type_Name,weather_id,Weather_Condition,Weather_Temperature
34,34,2024-05-08 04:13:44.920375,2024,5,8,24,Rantau Dedap,Jawa Barat,96,Steam Turbine BioSteam Z,Turbine,1607.11,Maintenance,5,PLTG,1,Clear,32.1
35,35,2024-10-15 13:52:44.920375,2024,10,15,2,Cirata,Jawa Barat,18,Gearbox PLTBMaster,Turbine,1151.59,Standby,2,PLTB,1,Clear,23.4
36,36,2024-07-23 08:42:44.920375,2024,7,23,5,Darajat,Sulawesi Utara,65,Binary Cycle Plant GeoFlow,Heat Exchanger,1949.54,Degraded,4,PLTU,1,Clear,11.5
37,37,2024-03-30 00:57:44.920375,2024,3,30,6,Wayang PLTBu,NTT,75,Kaplan Turbine FlowMax,Generator,348.52,Failed,3,PLTA,6,Thunderstorm,35.7
38,38,2024-05-25 20:54:44.920375,2024,5,25,18,Jeneponto,Banten,86,Steam Turbine GeoPower X1,Heat Exchanger,1707.58,Failed,4,PLTU,7,Foggy,28.1
39,39,2024-10-24 06:46:44.920375,2024,10,24,1,Karangkates,Jawa Timur,70,Steam Turbine GeoPower X1,Condenser,1988.12,Operational,4,PLTU,6,Thunderstorm,17.9
40,40,2025-03-29 06:40:44.920375,2025,3,29,16,Tambak Lorok,Sulawesi Utara,93,PLTB Turbine G100,Gearbox,1869.55,Degraded,2,PLTB,1,Clear,13.4
41,41,2023-12-14 16:24:44.920375,2023,12,14,24,Rantau Dedap,Jawa Barat,100,Gearbox PLTBMaster,Generator,1800.8,Maintenance,2,PLTB,4,Overcast,30.8
42,42,2024-04-27 20:10:44.920375,2024,4,27,21,Patuha,Lampung,79,Pelletizer BioFuel,Feeder System,275.59,Maintenance,5,PLTG,3,Cloudy,29.4
43,43,2024-01-16 02:19:44.920375,2024,1,16,6,Wayang PLTBu,NTT,31,Wellhead Unit AlphaTherm,Condenser,1704.98,Maintenance,4,PLTU,7,Foggy,13.2
44,44,2024-05-05 03:05:44.920375,2024,5,5,25,Muara Laboh,Jawa Tengah,26,PLTS Panel B-Series X,Mounting System,1922.78,Operational,1,PLTS,6,Thunderstorm,26.4
45,45,2023-09-04 04:15:44.920375,2023,9,4,7,Sibayak,Banten,73,Wellhead Unit AlphaTherm,Steam Turbine,1164.76,Degraded,4,PLTU,2,Partly Cloudy,17.5
46,46,2023-08-04 07:07:44.920375,2023,8,4,3,Saguling,Jawa Tengah,30,PLTG Generator CAT D1000,Generator Set,1397.85,Standby,6,PLTG,4,Overcast,22.1
47,47,2024-02-03 00:00:44.920375,2024,2,3,21,Patuha,Lampung,74,Steam Turbine BioSteam Z,Gasifier,1938.2,Degraded,5,PLTG,5,Rain Showers,29.6
48,48,2023-10-29 04:32:44.920375,2023,10,29,11,Paiton,Sumatera Selatan,9,Alternator PLTGGen Pro,Engine,1539.9,Maintenance,6,PLTG,4,Overcast,14.6
49,49,2025-04-09 10:03:44.920375,2025,4,9,2,Cirata,Jawa Barat,79,Pelletizer BioFuel,Feeder System,1678.88,Failed,5,PLTG,2,Partly Cloudy,15.7
50,50,2024-03-16 02:05:44.920375,2024,3,16,18,Jeneponto,Banten,71,PLTG Boiler BioBurn R1,Feeder System,909.62,Operational,5,PLTG,1,Clear,24.2
51,51,2024-02-01 23:35:44.920375,2024,2,1,10,Mataloko,Lampung,29,PLTB Turbine Vestas V120,Nacelle,779.09,Failed,2,PLTB,2,Partly Cloudy,37.7
52,52,2025-03-23 22:01:44.920375,2025,3,23,14,Grati,Jawa Tengah,97,Gearbox PLTBMaster,Gearbox,376.85,Operational,2,PLTB,3,Cloudy,38.9
53,53,2023-09-09 13:24:44.920375,2023,9,9,11,Paiton,Sumatera Selatan,86,Steam Turbine GeoPower X1,Heat Exchanger,1308.32,Failed,4,PLTU,7,Foggy,36.7
54,54,2024-09-22 02:36:44.920375,2024,9,22,11,Paiton,Sumatera Selatan,19,PLTB Turbine Vestas V120,Turbine,1952.83,Standby,2,PLTB,5,Rain Showers,23.8
55,55,2025-04-01 00:38:44.920375,2025,4,1,18,Jeneponto,Banten,45,PLTG Generator CAT D1000,Fuel System,187.66,Operational,6,PLTG,6,Thunderstorm,32.9
56,56,2024-03-08 06:52:44.920375,2024,3,8,25,Muara Laboh,Jawa Tengah,4,Alternator PLTGGen Pro,Generator Set,808.49,Maintenance,6,PLTG,5,Rain Showers,15.1
57,57,2023-08-19 02:07:44.920375,2023,8,19,7,Sibayak,Banten,67,Steam Turbine GeoPower X1,Wellhead,772.53,Operational,4,PLTU,8,Hazy,13.5
58,58,2024-02-18 13:13:44.920375,2024,2,18,20,Gunung Salak,Sulawesi Selatan,38,Gasifier WoodChip X200,Feeder System,930.91,Failed,5,PLTG,1,Clear,35.9
59,59,2024-03-28 19:42:44.920375,2024,3,28,6,Wayang PLTBu,NTT,21,PLTS Panel B-Series X,Inverter,118.37,Operational,1,PLTS,4,Overcast,37.3
60,60,2025-04-16 10:02:44.920375,2025,4,16,10,Mataloko,Lampung,36,Wellhead Unit AlphaTherm,Wellhead,1097.77,Degraded,4,PLTU,1,Clear,14.0
61,61,2024-04-15 19:03:44.920375,2024,4,15,5,Darajat,Sulawesi Utara,19,PLTB Turbine Vestas V120,Turbine,1334.14,Standby,2,PLTB,6,Thunderstorm,29.4
62,62,2025-04-12 22:52:44.920375,2025,4,12,11,Paiton,Sumatera Selatan,87,Binary Cycle Plant GeoFlow,Condenser,406.56,Maintenance,4,PLTU,7,Foggy,35.8
63,63,2024-10-23 17:23:44.920375,2024,10,23,9,Ulumbu,Sulawesi Selatan,97,Gearbox PLTBMaster,Gearbox,1860.63,Maintenance,2,PLTB,6,Thunderstorm,17.0
64,64,2023-12-07 15:21:44.920375,2023,12,7,15,Muara Karang,Sumatera Utara,66,Wellhead Unit AlphaTherm,Wellhead,1048.44,Standby,4,PLTU,8,Hazy,15.5
65,65,2024-11-15 21:57:44.920375,2024,11,15,15,Muara Karang,Sumatera Utara,58,Steam Turbine GeoPower X1,Wellhead,1241.51,Operational,4,PLTU,8,Hazy,16.8
66,66,2023-08-13 17:53:44.920375,2023,8,13,8,Lahendong,DKI Jakarta,77,Wellhead Unit AlphaTherm,Steam Turbine,1291.56,Failed,4,PLTU,5,Rain Showers,11.4
67,67,2024-12-21 04:03:44.920375,2024,12,21,1,Karangkates,Jawa Timur,64,Kaplan Turbine FlowMax,Turbine,1530.71,Standby,3,PLTA,1,Clear,19.8
68,68,2024-10-28 09:27:44.920375,2024,10,28,3,Saguling,Jawa Tengah,58,Steam Turbine GeoPower X1,Wellhead,498.09,Failed,4,PLTU,7,Foggy,28.6
69,69,2023-11-17 05:21:44.920375,2023,11,17,15,Muara Karang,Sumatera Utara,77,Wellhead Unit AlphaTherm,Steam Turbine,1312.46,Standby,4,PLTU,2,Partly Cloudy,30.7
70,70,2024-05-07 15:04:44.920375,2024,5,7,7,Sibayak,Banten,10,PLTB Turbine Vestas V120,Turbine,1553.73,Standby,2,PLTB,7,Foggy,13.3
71,71,2024-04-03 19:46:44.920375,2024,4,3,7,Sibayak,Banten,57,Gearbox PLTBMaster,Turbine,1966.15,Standby,2,PLTB,1,Clear,16.5
72,72,2024-01-10 05:33:44.920375,2024,1,10,2,Cirata,Jawa Barat,21,PLTS Panel B-Series X,Inverter,142.59,Failed,1,PLTS,8,Hazy,37.6
73,73,2025-01-07 17:24:44.920375,2025,1,7,1,Karangkates,Jawa Timur,44,PLTG Generator CAT D1000,Exhaust System,1352.26,Standby,6,PLTG,4,Overcast,21.9
74,74,2023-12-02 08:42:44.920375,2023,12,2,11,Paiton,Sumatera Selatan,63,Wellhead Unit AlphaTherm,Steam Turbine,473.99,Standby,4,PLTU,3,Cloudy,33.8
75,75,2024-12-29 06:34:44.920375,2024,12,29,13,Tanjung Jati B,Jawa Barat,93,PLTB Turbine G100,Gearbox,1921.86,Maintenance,2,PLTB,2,Partly Cloudy,26.8
76,76,2023-10-03 03:53:44.920375,2023,10,3,6,Wayang PLTBu,NTT,14,Central Inverter SunGrow,Photovoltaic Panel,1715.62,Operational,1,PLTS,8,Hazy,22.1
77,77,2025-04-20 19:02:44.920375,2025,4,20,11,Paiton,Sumatera Selatan,9,Alternator PLTGGen Pro,Engine,1710.25,Standby,6,PLTG,8,Hazy,37.2
78,78,2025-02-12 02:54:44.920375,2025,2,12,9,Ulumbu,Sulawesi Selatan,71,PLTG Boiler BioBurn R1,Feeder System,779.82,Failed,5,PLTG,7,Foggy,32.4
79,79,2024-08-18 14:08:44.920375,2024,8,18,3,Saguling,Jawa Tengah,7,PLTS Panel Array Alpha,Mounting System,1611.79,Operational,1,PLTS,4,Overcast,13.1
80,80,2024-01-28 12:11:44.920375,2024,1,28,7,Sibayak,Banten,94,Pelletizer BioFuel,Boiler,1569.73,Degraded,5,PLTG,4,Overcast,37.1
81,81,2024-09-05 19:36:44.920375,2024,9,5,23,Sorik Marapi,Jawa Timur,22,PLTB Turbine Vestas V120,Gearbox,1709.83,Standby,2,PLTB,6,Thunderstorm,15.3
82,82,2024-09-11 08:07:44.920375,2024,9,11,1,Karangkates,Jawa Timur,72,Cooling Tower GeoCool,Heat Exchanger,941.9,Maintenance,4,PLTU,8,Hazy,30.8
83,83,2024-12-09 15:11:44.920375,2024,12,9,3,Saguling,Jawa Tengah,79,Pelletizer BioFuel,Feeder System,582.09,Maintenance,5,PLTG,3,Cloudy,14.0
84,84,2024-08-04 16:06:44.920375,2024,8,4,1,Karangkates,Jawa Timur,44,PLTG Generator CAT D1000,Exhaust System,799.09,Maintenance,6,PLTG,8,Hazy,33.1
85,85,2023-09-08 04:02:44.920375,2023,9,8,15,Muara Karang,Sumatera Utara,34,Steam Turbine GeoPower X1,Wellhead,1164.56,Operational,4,PLTU,2,Partly Cloudy,13.1
86,86,2025-01-16 02:55:44.920375,2025,1,16,9,Ulumbu,Sulawesi Selatan,95,Pelletizer BioFuel,Feeder System,1675.9,Maintenance,5,PLTG,5,Rain Showers,31.3
87,87,2024-11-03 22:03:44.920375,2024,11,3,9,Ulumbu,Sulawesi Selatan,98,Wellhead Unit AlphaTherm,Steam Turbine,1988.17,Degraded,4,PLTU,1,Clear,18.9
88,88,2025-04-27 00:46:44.920375,2025,4,27,9,Ulumbu,Sulawesi Selatan,31,Wellhead Unit AlphaTherm,Condenser,770.88,Degraded,4,PLTU,5,Rain Showers,28.8
89,89,2025-03-16 16:14:44.920375,2025,3,16,13,Tanjung Jati B,Jawa Barat,46,Steam Turbine BioSteam Z,Turbine,1591.46,Operational,5,PLTG,5,Rain Showers,24.5
90,90,2024-04-18 07:29:44.920375,2024,4,18,9,Ulumbu,Sulawesi Selatan,80,Central Inverter SunGrow,Mounting System,1645.02,Operational,1,PLTS,2,Partly Cloudy,35.7
91,91,2023-09-07 17:17:44.920375,2023,9,7,3,Saguling,Jawa Tengah,4,Alternator PLTGGen Pro,Generator Set,484.22,Operational,6,PLTG,5,Rain Showers,15.8
92,92,2024-06-09 05:52:44.920375,2024,6,9,24,Rantau Dedap,Jawa Barat,40,PLTS Panel Array Alpha,Inverter,1717.04,Failed,1,PLTS,4,Overcast,21.3
93,93,2024-09-20 05:13:44.920375,2024,9,20,19,Likupang,DKI Jakarta,6,PLTS Panel B-Series X,Mounting System,673.86,Maintenance,1,PLTS,6,Thunderstorm,22.4
94,94,2025-02-10 12:41:44.920375,2025,2,10,5,Darajat,Sulawesi Utara,98,Wellhead Unit AlphaTherm,Steam Turbine,1260.83,Degraded,4,PLTU,1,Clear,25.5
95,95,2025-03-08 06:44:44.920375,2025,3,8,17,Sidrap,NTT,32,Pelletizer BioFuel,Turbine,899.01,Maintenance,5,PLTG,6,Thunderstorm,28.0
96,96,2024-07-21 16:08:44.920375,2024,7,21,10,Mataloko,Lampung,85,Pelletizer BioFuel,Boiler,1465.98,Degraded,5,PLTG,5,Rain Showers,12.2
97,97,2025-05-20 16:00:44.920375,2025,5,20,19,Likupang,DKI Jakarta,55,PLTA Turbine T-Francis,Turbine,1960.0,Operational,3,PLTA,5,Rain Showers,35.8
98,98,2024-07-18 16:00:44.920375,2024,7,18,25,Muara Laboh,Jawa Tengah,22,PLTB Turbine Vestas V120,Gearbox,1828.21,Standby,2,PLTB,7,Foggy,20.3
99,99,2023-11-15 02:23:44.920375,2023,11,15,1,Karangkates,Jawa Timur,88,Blade Set AeroPro,Turbine,362.79,Degraded,2,PLTB,5,Rain Showers,15.5
100,100,2023-09-27 20:29:44.920375,2023,9,27,16,Tambak Lorok,Sulawesi Utara,95,Pelletizer BioFuel,Feeder System,1055.17,Degraded,5,PLTG,5,Rain Showers,35.7
101,101,2023-10-21 17:15:44.920375,2023,10,21,3,Saguling,Jawa Tengah,82,Wellhead Unit AlphaTherm,Condenser,1090.33,Operational,4,PLTU,7,Foggy,26.7
102,102,2024-09-25 23:27:44.920375,2024,9,25,10,Mataloko,Lampung,93,PLTB Turbine G100,Gearbox,1971.57,Maintenance,2,PLTB,1,Clear,15.9
103,103,2024-02-01 13:35:44.920375,2024,2,1,1,Karangkates,Jawa Timur,3,Pelletizer BioFuel,Turbine,1309.9,Maintenance,5,PLTG,1,Clear,15.8
104,104,2025-04-14 00:54:44.920375,2025,4,14,14,Grati,Jawa Tengah,21,PLTS Panel B-Series X,Inverter,580.46,Failed,1,PLTS,5,Rain Showers,21.2
105,105,2025-01-03 19:01:44.920375,2025,1,3,11,Paiton,Sumatera Selatan,72,Cooling Tower GeoCool,Heat Exchanger,930.26,Standby,4,PLTU,7,Foggy,18.3
106,106,2025-04-16 03:05:44.920375,2025,4,16,2,Cirata,Jawa Barat,67,Steam Turbine GeoPower X1,Wellhead,534.87,Failed,4,PLTU,6,Thunderstorm,19.8
107,107,2023-07-22 05:05:44.920375,2023,7,22,13,Tanjung Jati B,Jawa Barat,56,Blade Set AeroPro,Generator,1864.02,Operational,2,PLTB,3,Cloudy,26.1
108,108,2023-06-25 02:03:44.920375,2023,6,25,24,Rantau Dedap,Jawa Barat,30,PLTG Generator CAT D1000,Generator Set,1413.59,Maintenance,6,PLTG,7,Foggy,14.6
109,109,2024-07-21 08:54:44.920375,2024,7,21,2,Cirata,Jawa Barat,68,Gearbox PLTBMaster,Gearbox,844.27,Failed,2,PLTB,6,Thunderstorm,25.3
110,110,2023-08-25 17:52:44.920375,2023,8,25,11,Paiton,Sumatera Selatan,84,PLTS Panel Array Alpha,Tracker,1551.12,Degraded,1,PLTS,8,Hazy,24.5
111,111,2024-06-10 06:35:44.920375,2024,6,10,15,Muara Karang,Sumatera Utara,1,Blade Set AeroPro,Nacelle,149.06,Standby,2,PLTB,5,Rain Showers,24.6
112,112,2023-07-08 09:30:44.920375,2023,7,8,1,Karangkates,Jawa Timur,15,Fuel Tank PetroStore 50KL,Fuel System,1631.31,Maintenance,6,PLTG,4,Overcast,36.5
113,113,2024-02-08 11:33:44.920375,2024,2,8,5,Darajat,Sulawesi Utara,71,PLTG Boiler BioBurn R1,Feeder System,170.47,Failed,5,PLTG,8,Hazy,33.4
114,114,2024-01-08 11:03:44.920375,2024,1,8,21,Patuha,Lampung,91,Engine Cummins KTA50,Fuel System,652.99,Operational,6,PLTG,1,Clear,16.7
115,115,2025-01-02 00:40:44.920375,2025,1,2,19,Likupang,DKI Jakarta,90,Generator PLTAGenX,Turbine,736.17,Maintenance,3,PLTA,3,Cloudy,13.4
116,116,2024-08-17 01:33:44.920375,2024,8,17,24,Rantau Dedap,Jawa Barat,5,Pelletizer BioFuel,Gasifier,147.2,Standby,5,PLTG,3,Cloudy,15.7
117,117,2024-09-26 14:44:44.920375,2024,9,26,18,Jeneponto,Banten,79,Pelletizer BioFuel,Feeder System,1300.73,Standby,5,PLTG,4,Overcast,12.5
118,118,2023-07-11 17:59:44.920375,2023,7,11,4,Kamojang,Sumatera Utara,83,PLTG Boiler BioBurn R1,Gasifier,1854.75,Failed,5,PLTG,4,Overcast,35.0
119,119,2024-09-27 09:45:44.920375,2024,9,27,23,Sorik Marapi,Jawa Timur,85,Pelletizer BioFuel,Boiler,1738.63,Operational,5,PLTG,3,Cloudy,36.6
120,120,2024-09-24 21:05:44.920375,2024,9,24,11,Paiton,Sumatera Selatan,73,Wellhead Unit AlphaTherm,Steam Turbine,1157.23,Standby,4,PLTU,4,Overcast,31.4
121,121,2023-05-31 06:35:44.920375,2023,5,31,5,Darajat,Sulawesi Utara,20,Alternator PLTGGen Pro,Fuel System,1794.53,Operational,6,PLTG,6,Thunderstorm,13.7
122,122,2025-04-22 22:38:44.920375,2025,4,22,5,Darajat,Sulawesi Utara,92,PLTG Boiler BioBurn R1,Gasifier,508.65,Standby,5,PLTG,3,Cloudy,39.6
123,123,2025-04-02 04:24:44.920375,2025,4,2,11,Paiton,Sumatera Selatan,13,PLTS Panel Array Alpha,Photovoltaic Panel,1560.35,Degraded,1,PLTS,4,Overcast,16.2
124,124,2023-06-27 04:16:44.920375,2023,6,27,2,Cirata,Jawa Barat,33,Pelletizer BioFuel,Feeder System,619.37,Operational,5,PLTG,5,Rain Showers,11.6
125,125,2023-10-26 04:55:44.920375,2023,10,26,21,Patuha,Lampung,67,Steam Turbine GeoPower X1,Wellhead,1791.8,Standby,4,PLTU,7,Foggy,26.8
126,126,2025-02-03 11:23:44.920375,2025,2,3,15,Muara Karang,Sumatera Utara,62,PLTB Turbine Vestas V120,Gearbox,387.69,Standby,2,PLTB,4,Overcast,33.8
127,127,2025-04-28 17:05:44.920375,2025,4,28,17,Sidrap,NTT,9,Alternator PLTGGen Pro,Engine,791.15,Maintenance,6,PLTG,8,Hazy,21.1
128,128,2024-11-22 15:29:44.920375,2024,11,22,12,Suralaya,Jawa Timur,46,Steam Turbine BioSteam Z,Turbine,1921.61,Operational,5,PLTG,4,Overcast,23.0
129,129,2023-08-29 02:22:44.920375,2023,8,29,22,Dieng,Sumatera Selatan,39,PLTS Panel B-Series X,Mounting System,515.1,Standby,1,PLTS,7,Foggy,28.2
130,130,2024-05-12 20:59:44.920375,2024,5,12,4,Kamojang,Sumatera Utara,21,PLTS Panel B-Series X,Inverter,603.44,Standby,1,PLTS,3,Cloudy,11.9
131,131,2023-12-16 01:10:44.920375,2023,12,16,8,Lahendong,DKI Jakarta,64,Kaplan Turbine FlowMax,Turbine,1031.99,Operational,3,PLTA,3,Cloudy,14.2
132,132,2025-04-13 14:19:44.920375,2025,4,13,16,Tambak Lorok,Sulawesi Utara,21,PLTS Panel B-Series X,Inverter,131.39,Failed,1,PLTS,8,Hazy,17.4
133,133,2023-07-02 19:07:44.920375,2023,7,2,18,Jeneponto,Banten,48,PLTA Turbine T-Francis,Spillway Gate,1228.05,Degraded,3,PLTA,6,Thunderstorm,21.5
134,134,2023-11-02 22:51:44.920375,2023,11,2,4,Kamojang,Sumatera Utara,60,Binary Cycle Plant GeoFlow,Heat Exchanger,672.05,Maintenance,4,PLTU,7,Foggy,26.4
135,135,2024-07-28 02:09:44.920375,2024,7,28,13,Tanjung Jati B,Jawa Barat,43,Binary Cycle Plant GeoFlow,Wellhead,180.39,Failed,4,PLTU,1,Clear,23.1
136,136,2024-11-08 11:36:44.920375,2024,11,8,13,Tanjung Jati B,Jawa Barat,87,Binary Cycle Plant GeoFlow,Condenser,913.37,Operational,4,PLTU,4,Overcast,13.5
137,137,2023-12-16 07:34:44.920375,2023,12,16,4,Kamojang,Sumatera Utara,85,Pelletizer BioFuel,Boiler,1277.91,Maintenance,5,PLTG,8,Hazy,30.0
138,138,2025-02-15 22:16:44.920375,2025,2,15,11,Paiton,Sumatera Selatan,92,PLTG Boiler BioBurn R1,Gasifier,103.03,Failed,5,PLTG,7,Foggy,35.5
139,139,2024-11-13 09:17:44.920375,2024,11,13,4,Kamojang,Sumatera Utara,58,Steam Turbine GeoPower X1,Wellhead,521.43,Degraded,4,PLTU,8,Hazy,21.6
140,140,2025-05-14 12:18:44.920375,2025,5,14,2,Cirata,Jawa Barat,60,Binary Cycle Plant GeoFlow,Heat Exchanger,1763.69,Degraded,4,PLTU,6,Thunderstorm,25.5
141,141,2025-05-01 08:05:44.920375,2025,5,1,22,Dieng,Sumatera Selatan,63,Wellhead Unit AlphaTherm,Steam Turbine,1611.94,Degraded,4,PLTU,4,Overcast,19.6
142,142,2024-03-21 05:50:44.920375,2024,3,21,13,Tanjung Jati B,Jawa Barat,38,Gasifier WoodChip X200,Feeder System,470.64,Maintenance,5,PLTG,8,Hazy,31.5
143,143,2024-06-14 04:08:44.920375,2024,6,14,13,Tanjung Jati B,Jawa Barat,70,Steam Turbine GeoPower X1,Condenser,1048.26,Standby,4,PLTU,4,Overcast,16.2
144,144,2025-02-25 00:11:44.920375,2025,2,25,9,Ulumbu,Sulawesi Selatan,10,PLTB Turbine Vestas V120,Turbine,1122.62,Operational,2,PLTB,6,Thunderstorm,32.0
145,145,2024-10-18 21:05:44.920375,2024,10,18,25,Muara Laboh,Jawa Tengah,19,PLTB Turbine Vestas V120,Turbine,1130.27,Degraded,2,PLTB,2,Partly Cloudy,20.5
146,146,2024-01-14 01:22:44.920375,2024,1,14,19,Likupang,DKI Jakarta,6,PLTS Panel B-Series X,Mounting System,979.23,Operational,1,PLTS,6,Thunderstorm,16.4
